Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Sun, Lei; Li, Pan; Ju, Xiaohui; Rao, Jian; Huang, Wenze; Ren, Lili; Zhang, Shaojun; Xiong, Tuanlin; Xu, Kui; Zhou, Xiaolin; Gong, Mingli; Miska, Eric; Ding, Qiang; Wang, Jianwei; Zhang, Qiangfeng Cliff	In vivo structural characterization of the SARS-CoV-2 RNA genome identifies host proteins vulnerable to repurposed drugs.	Cell	2021	Cell. 2021 Feb 9. pii: S0092-8674(21)00158-6. doi: 10.1016/j.cell.2021.02.008.	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the cause of the ongoing coronavirus disease 2019 (COVID-19) pandemic. Understanding of the RNA virus and its interactions with host proteins could improve therapeutic interventions for COVID-19. By using icSHAPE, we determined the structural landscape of SARS-CoV-2 RNA in infected human cells and from refolded RNAs, as well as the regulatory untranslated regions of SARS-CoV-2 and six other coronaviruses. We validated several structural elements predicted in silico and discovered structural features that affect the translation and abundance of subgenomic viral RNAs in cells. The structural data informed a deep-learning tool to predict 42 host proteins that bind to SARS-CoV-2 RNA. Strikingly, antisense oligonucleotides targeting the structural elements and FDA-approved drugs inhibiting the SARS-CoV-2 RNA binding proteins dramatically reduced SARS-CoV-2 infection in cells derived from human liver and lung tumors. Our findings thus shed light on coronavirus and reveal multiple candidate therapeutics for COVID-19 treatment.	RBP binding prediction; RNA secondary structure; SARS-CoV-2; drug reproposing; host factor	20210209	https://pubmed.ncbi.nlm.nih.gov/33636127
Gyimesi, Mate; Horvath, Adam I; Turos, Demeter; Suthar, Sharad Kumar; Penzes, Mate; Kurdi, Csilla; Canon, Louise; Kikuti, Carlos; Ruppel, Kathleen M; Trivedi, Darshan V; Spudich, James A; Lorincz, Istvan; Rauscher, Anna A; Kovacs, Mihaly; Pal, Endre; Komoly, Samuel; Houdusse, Anne; Malnasi-Csizmadia, Andras	Single Residue Variation in Skeletal Muscle Myosin Enables Direct and Selective Drug Targeting for Spasticity and Muscle Stiffness.	Cell	2020	Cell. 2020 Oct 15;183(2):335-346.e13. doi: 10.1016/j.cell.2020.08.050. Epub 2020 Oct 8.	Muscle spasticity after nervous system injuries and painful low back spasm affect more than 10% of global population. Current medications are of limited efficacy and cause neurological and cardiovascular side effects because they target upstream regulators of muscle contraction. Direct myosin inhibition could provide optimal muscle relaxation; however, targeting skeletal myosin is particularly challenging because of its similarity to the cardiac isoform. We identified a key residue difference between these myosin isoforms, located in the communication center of the functional regions, which allowed us to design a selective inhibitor, MPH-220. Mutagenic analysis and the atomic structure of MPH-220-bound skeletal muscle myosin confirmed the mechanism of specificity. Targeting skeletal muscle myosin by MPH-220 enabled muscle relaxation, in human and model systems, without cardiovascular side effects and improved spastic gait disorders after brain injury in a disease model. MPH-220 provides a potential nervous-system-independent option to treat spasticity and muscle stiffness.	artificial intelligence; blebbistatin; crystallography; deep learning; force; motor protein; musculoskeletal disorder; sarcomere; stroke; unmet medical need	20201008	https://pubmed.ncbi.nlm.nih.gov/33035452
Markenscoff-Papadimitriou, Eirene; Whalen, Sean; Przytycki, Pawel; Thomas, Reuben; Binyameen, Fadya; Nowakowski, Tomasz J; Kriegstein, Arnold R; Sanders, Stephan J; State, Matthew W; Pollard, Katherine S; Rubenstein, John L	A Chromatin Accessibility Atlas of the Developing Human Telencephalon.	Cell	2020	Cell. 2020 Aug 6;182(3):754-769.e18. doi: 10.1016/j.cell.2020.06.002. Epub 2020 Jun 30.	To discover regulatory elements driving the specificity of gene expression in different cell types and regions of the developing human brain, we generated an atlas of open chromatin from nine dissected regions of the mid-gestation human telencephalon, as well as microdissected upper and deep layers of the prefrontal cortex. We identified a subset of open chromatin regions (OCRs), termed predicted regulatory elements (pREs), that are likely to function as developmental brain enhancers. pREs showed temporal, regional, and laminar differences in chromatin accessibility and were correlated with gene expression differences across regions and gestational ages. We identified two functional de novo variants in a pRE for autism risk gene SLC6A1, and using CRISPRa, demonstrated that this pRE regulates SCL6A1. Additionally, mouse transgenic experiments validated enhancer activity for pREs proximal to FEZF2 and BCL11A. Thus, this atlas serves as a resource for decoding neurodevelopmental gene regulation in health and disease.	ATAC-seq; autism; chromatin; enhancers; gene regulation; machine learning; neurodevelopment; neuropsychiatric disorders	20200630	https://pubmed.ncbi.nlm.nih.gov/32610082
Zhang, Kang; Liu, Xiaohong; Shen, Jun; Li, Zhihuan; Sang, Ye; Wu, Xingwang; Zha, Yunfei; Liang, Wenhua; Wang, Chengdi; Wang, Ke; Ye, Linsen; Gao, Ming; Zhou, Zhongguo; Li, Liang; Wang, Jin; Yang, Zehong; Cai, Huimin; Xu, Jie; Yang, Lei; Cai, Wenjia; Xu, Wenqin; Wu, Shaoxu; Zhang, Wei; Jiang, Shanping; Zheng, Lianghong; Zhang, Xuan; Wang, Li; Lu, Liu; Li, Jiaming; Yin, Haiping; Wang, Winston; Li, Oulan; Zhang, Charlotte; Liang, Liang; Wu, Tao; Deng, Ruiyun; Wei, Kang; Zhou, Yong; Chen, Ting; Lau, Johnson Yiu-Nam; Fok, Manson; He, Jianxing; Lin, Tianxin; Li, Weimin; Wang, Guangyu	Clinically Applicable AI System for Accurate Diagnosis, Quantitative Measurements, and Prognosis of COVID-19 Pneumonia Using Computed Tomography.	Cell	2020	Cell. 2020 Jun 11;181(6):1423-1433.e11. doi: 10.1016/j.cell.2020.04.045. Epub 2020 May 4.	Many COVID-19 patients infected by SARS-CoV-2 virus develop pneumonia (called novel coronavirus pneumonia, NCP) and rapidly progress to respiratory failure. However, rapid diagnosis and identification of high-risk patients for early intervention are challenging. Using a large computed tomography (CT) database from 3,777 patients, we developed an AI system that can diagnose NCP and differentiate it from other common pneumonia and normal controls. The AI system can assist radiologists and physicians in performing a quick diagnosis especially when the health system is overloaded. Significantly, our AI system identified important clinical markers that correlated with the NCP lesion properties. Together with the clinical data, our AI system was able to provide accurate clinical prognosis that can aid clinicians to consider appropriate early clinical management and allocate resources appropriately. We have made this AI system available globally to assist the clinicians to combat COVID-19.	AI; COVID-19; SARS-CoV-2; automated diagnosis; computed tomography; deep learning; pneumonia; prognosis analysis	20200504	https://pubmed.ncbi.nlm.nih.gov/32416069
Stokes, Jonathan M; Yang, Kevin; Swanson, Kyle; Jin, Wengong; Cubillos-Ruiz, Andres; Donghia, Nina M; MacNair, Craig R; French, Shawn; Carfrae, Lindsey A; Bloom-Ackermann, Zohar; Tran, Victoria M; Chiappino-Pepe, Anush; Badran, Ahmed H; Andrews, Ian W; Chory, Emma J; Church, George M; Brown, Eric D; Jaakkola, Tommi S; Barzilay, Regina; Collins, James J	A Deep Learning Approach to Antibiotic Discovery.	Cell	2020	Cell. 2020 Apr 16;181(2):475-483. doi: 10.1016/j.cell.2020.04.001.	?		?	https://pubmed.ncbi.nlm.nih.gov/32302574
Stokes, Jonathan M; Yang, Kevin; Swanson, Kyle; Jin, Wengong; Cubillos-Ruiz, Andres; Donghia, Nina M; MacNair, Craig R; French, Shawn; Carfrae, Lindsey A; Bloom-Ackermann, Zohar; Tran, Victoria M; Chiappino-Pepe, Anush; Badran, Ahmed H; Andrews, Ian W; Chory, Emma J; Church, George M; Brown, Eric D; Jaakkola, Tommi S; Barzilay, Regina; Collins, James J	A Deep Learning Approach to Antibiotic Discovery.	Cell	2020	Cell. 2020 Feb 20;180(4):688-702.e13. doi: 10.1016/j.cell.2020.01.021.	Due to the rapid emergence of antibiotic-resistant bacteria, there is a growing need to discover new antibiotics. To address this challenge, we trained a deep neural network capable of predicting molecules with antibacterial activity. We performed predictions on multiple chemical libraries and discovered a molecule from the Drug Repurposing Hub-halicin-that is structurally divergent from conventional antibiotics and displays bactericidal activity against a wide phylogenetic spectrum of pathogens including Mycobacterium tuberculosis and carbapenem-resistant Enterobacteriaceae. Halicin also effectively treated Clostridioides difficile and pan-resistant Acinetobacter baumannii infections in murine models. Additionally, from a discrete set of 23 empirically tested predictions from >107 million molecules curated from the ZINC15 database, our model identified eight antibacterial compounds that are structurally distant from known antibiotics. This work highlights the utility of deep learning approaches to expand our antibiotic arsenal through the discovery of structurally distinct antibacterial molecules.	antibiotic resistance; antibiotic tolerance; antibiotics; drug discovery; machine learning	?	https://pubmed.ncbi.nlm.nih.gov/32084340
Zhao, Shan; Todorov, Mihail Ivilinov; Cai, Ruiyao; -Maskari, Rami Ai; Steinke, Hanno; Kemter, Elisabeth; Mai, Hongcheng; Rong, Zhouyi; Warmer, Martin; Stanic, Karen; Schoppe, Oliver; Paetzold, Johannes Christian; Gesierich, Benno; Wong, Milagros N; Huber, Tobias B; Duering, Marco; Bruns, Oliver Thomas; Menze, Bjoern; Lipfert, Jan; Puelles, Victor G; Wolf, Eckhard; Bechmann, Ingo; Erturk, Ali	Cellular and Molecular Probing of Intact Human Organs.	Cell	2020	Cell. 2020 Feb 20;180(4):796-812.e19. doi: 10.1016/j.cell.2020.01.030. Epub 2020 Feb 13.	Optical tissue transparency permits scalable cellular and molecular investigation of complex tissues in 3D. Adult human organs are particularly challenging to render transparent because of the accumulation of dense and sturdy molecules in decades-aged tissues. To overcome these challenges, we developed SHANEL, a method based on a new tissue permeabilization approach to clear and label stiff human organs. We used SHANEL to render the intact adult human brain and kidney transparent and perform 3D histology with antibodies and dyes in centimeters-depth. Thereby, we revealed structural details of the intact human eye, human thyroid, human kidney, and transgenic pig pancreas at the cellular resolution. Furthermore, we developed a deep learning pipeline to analyze millions of cells in cleared human brain tissues within hours with standard lab computers. Overall, SHANEL is a robust and unbiased technology to chart the cellular and molecular architecture of large intact mammalian organs.		20200213	https://pubmed.ncbi.nlm.nih.gov/32059778
Pan, Chenchen; Schoppe, Oliver; Parra-Damas, Arnaldo; Cai, Ruiyao; Todorov, Mihail Ivilinov; Gondi, Gabor; von Neubeck, Bettina; Bogurcu-Seidel, Nuray; Seidel, Sascha; Sleiman, Katia; Veltkamp, Christian; Forstera, Benjamin; Mai, Hongcheng; Rong, Zhouyi; Trompak, Omelyan; Ghasemigharagoz, Alireza; Reimer, Madita Alice; Cuesta, Angel M; Coronel, Javier; Jeremias, Irmela; Saur, Dieter; Acker-Palmer, Amparo; Acker, Till; Garvalov, Boyan K; Menze, Bjoern; Zeidler, Reinhard; Erturk, Ali	Deep Learning Reveals Cancer Metastasis and Therapeutic Antibody Targeting in the Entire Body.	Cell	2019	Cell. 2019 Dec 12;179(7):1661-1676.e19. doi: 10.1016/j.cell.2019.11.013.	Reliable detection of disseminated tumor cells and of the biodistribution of tumor-targeting therapeutic antibodies within the entire body has long been needed to better understand and treat cancer metastasis. Here, we developed an integrated pipeline for automated quantification of cancer metastases and therapeutic antibody targeting, named DeepMACT. First, we enhanced the fluorescent signal of cancer cells more than 100-fold by applying the vDISCO method to image metastasis in transparent mice. Second, we developed deep learning algorithms for automated quantification of metastases with an accuracy matching human expert manual annotation. Deep learning-based quantification in 5 different metastatic cancer models including breast, lung, and pancreatic cancer with distinct organotropisms allowed us to systematically analyze features such as size, shape, spatial distribution, and the degree to which metastases are targeted by a therapeutic monoclonal antibody in entire mice. DeepMACT can thus considerably improve the discovery of effective antibody-based therapeutics at the pre-clinical stage. VIDEO ABSTRACT.	antibody; cancer; deep learning; drug targeting; imaging; light-sheet; metastasis; microscopy; tissue clearing; vDISCO	?	https://pubmed.ncbi.nlm.nih.gov/31835038
Bogard, Nicholas; Linder, Johannes; Rosenberg, Alexander B; Seelig, Georg	A Deep Neural Network for Predicting and Engineering Alternative Polyadenylation.	Cell	2019	Cell. 2019 Jun 27;178(1):91-106.e23. doi: 10.1016/j.cell.2019.04.046. Epub 2019 Jun 6.	Alternative polyadenylation (APA) is a major driver of transcriptome diversity in human cells. Here, we use deep learning to predict APA from DNA sequence alone. We trained our model (APARENT, APA REgression NeT) on isoform expression data from over 3 million APA reporters. APARENT's predictions are highly accurate when tasked with inferring APA in synthetic and human 3'UTRs. Visualizing features learned across all network layers reveals that APARENT recognizes sequence motifs known to recruit APA regulators, discovers previously unknown sequence determinants of 3' end processing, and integrates these features into a comprehensive, interpretable, cis-regulatory code. We apply APARENT to forward engineer functional polyadenylation signals with precisely defined cleavage position and isoform usage and validate predictions experimentally. Finally, we use APARENT to quantify the impact of genetic variants on APA. Our approach detects pathogenic variants in a wide range of disease contexts, expanding our understanding of the genetic origins of disease.	MPRA; SNV; alternative polyadenylation; cis-regulation; deep learning; generative model; mRNA processing; machine learning; massively parallel reporter assay; single nucleotide variant; synthetic biology	20190606	https://pubmed.ncbi.nlm.nih.gov/31178116
Bao, Suying; Moakley, Daniel F; Zhang, Chaolin	The Splicing Code Goes Deep.	Cell	2019	Cell. 2019 Jan 24;176(3):414-416. doi: 10.1016/j.cell.2019.01.013.	The importance of genomic sequence context in generating transcriptome diversity through RNA splicing is independently unmasked by two studies in this issue (Jaganathan et al., 2019; Baeza-Centurion et al., 2019).		?	https://pubmed.ncbi.nlm.nih.gov/30682368
