Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Walter, Tristan; Couzin, Iain D	TRex, a fast multi-animal tracking system with markerless identification, and 2D estimation of posture and visual fields.	Elife	2021	Elife. 2021 Feb 26;10. pii: 64000. doi: 10.7554/eLife.64000.	Automated visual tracking of animals is rapidly becoming an indispensable tool for the study of behavior. It offers a quantitative methodology by which organisms' sensing and decision-making can be studied in a wide range of ecological contexts. Despite this, existing solutions tend to be challenging to deploy in practice, especially when considering long and/or high-resolution video-streams. Here, we present TRex, a fast and easy-to-use solution for tracking a large number of individuals simultaneously using background-subtraction with real-time (60Hz) tracking performance for up to approximately 256 individuals and estimates 2D visual-fields, outlines, and head/rear of bilateral animals, both in open and closed-loop contexts. Additionally, TRex offers highly-accurate, deep-learning-based visual identification of up to approximately 100 unmarked individuals, where it is between 2.5-46.7 times faster, and requires 2-10 times less memory, than comparable software (with relative performance increasing for more organisms/longer videos) and provides interactive data-exploration within an intuitive, platform-independent graphical user-interface.	D. melanogaster; computational biology; ecology; systems biology; zebrafish	20210226	https://pubmed.ncbi.nlm.nih.gov/33634789
Weinstein, Ben G; Marconi, Sergio; Bohlman, Stephanie A; Zare, Alina; Singh, Aditya; Graves, Sarah J; White, Ethan P	A remote sensing derived data set of 100 million individual tree crowns for the National Ecological Observatory Network.	Elife	2021	Elife. 2021 Feb 19;10. pii: 62922. doi: 10.7554/eLife.62922.	Forests provide biodiversity, ecosystem, and economic services. Information on individual trees is important for understanding forest ecosystems but obtaining individual-level data at broad scales is challenging due to the costs and logistics of data collection. While advances in remote sensing techniques allow surveys of individual trees at unprecedented extents, there remain technical challenges in turning sensor data into tangible information. Using deep learning methods, we produced an open-source data set of individual-level crown estimates for 100 million trees at 37 sites across the United States surveyed by the National Ecological Observatory Network's Airborne Observation Platform. Each canopy tree crown is represented by a rectangular bounding box and includes information on the height, crown area, and spatial location of the tree. These data have the potential to drive significant expansion of individual-level research on trees by facilitating both regional analyses and cross-region comparisons encompassing forest types from most of the United States.	NEON; deep learning; ecology; object detection; remote sensing; trees	20210219	https://pubmed.ncbi.nlm.nih.gov/33605211
Strausfeld, Nicholas; Sayre, Marcel E	Shore crabs reveal novel evolutionary attributes of the mushroom body.	Elife	2021	Elife. 2021 Feb 9;10. pii: 65167. doi: 10.7554/eLife.65167.	Neural organization of mushroom bodies is largely consistent across insects, whereas the ancestral ground pattern diverges broadly across crustacean lineages resulting in successive loss of columns and the acquisition of domed centers retaining ancestral Hebbian-like networks and aminergic connections. We demonstrate here a major departure from this evolutionary trend in Brachyura, the most recent malacostracan lineage. In the shore crab Hemigrapsus nudus, instead of occupying the rostral surface of the lateral protocerebrum, mushroom body calyces are buried deep within it with their columns extending outwards to an expansive system of gyri on the brain's surface. The organization amongst mushroom body neurons reaches extreme elaboration throughout its constituent neuropils. The calyces, columns, and especially the gyri show DC0 immunoreactivity, an indicator of extensive circuits involved in learning and memory.	Hemigrapsus nudus; Malacostraca; crustacea; evolution; evolutionary biology; learning; memory; mushroom body; neuroscience	20210209	https://pubmed.ncbi.nlm.nih.gov/33559601
Wang, Xuechun; Zeng, Weilin; Yang, Xiaodan; Fang, Chunyu; Han, Yunyun; Fei, Peng	Bi-channel image registration and deep-learning segmentation (BIRDS) for efficient, versatile 3D mapping of mouse brain.	Elife	2021	Elife. 2021 Jan 18;10. pii: 63455. doi: 10.7554/eLife.63455.	We have developed an open-source software called bi-channel image registration and deep-learning segmentation (BIRDS) for the mapping and analysis of 3D microscopy data and applied this to the mouse brain. The BIRDS pipeline includes image preprocessing, bi-channel registration, automatic annotation, creation of a 3D digital frame, high-resolution visualization, and expandable quantitative analysis. This new bi-channel registration algorithm is adaptive to various types of whole-brain data from different microscopy platforms and shows dramatically improved registration accuracy. Additionally, as this platform combines registration with neural networks, its improved function relative to the other platforms lies in the fact that the registration procedure can readily provide training data for network construction, while the trained neural network can efficiently segment-incomplete/defective brain data that is otherwise difficult to register. Our software is thus optimized to enable either minute-timescale registration-based segmentation of cross-modality, whole-brain datasets or real-time inference-based image segmentation of various brain regions of interest. Jobs can be easily submitted and implemented via a Fiji plugin that can be adapted to most computing environments.	computational biology; deep-learning; image registration; mouse; mouse brain; neuroscience; systems biology	20210118	https://pubmed.ncbi.nlm.nih.gov/33459255
Tam, Vivian; Chen, Peikai; Yee, Anita; Solis, Nestor; Klein, Theo; Kudelko, Mateusz; Sharma, Rakesh; Chan, Wilson Cw; Overall, Christopher M; Haglund, Lisbet; Sham, Pak C; Cheah, Kathryn Song Eng; Chan, Danny	DIPPER, a spatiotemporal proteomics atlas of human intervertebral discs for exploring ageing and degeneration dynamics.	Elife	2020	Elife. 2020 Dec 31;9. pii: 64940. doi: 10.7554/eLife.64940.	The spatiotemporal proteome of the intervertebral disc (IVD) underpins its integrity and function. We present DIPPER, a deep and comprehensive IVD proteomic resource comprising 94 genome-wide profiles from 17 individuals. To begin with, protein modules defining key directional trends spanning the lateral and anteroposterior axes were derived from high-resolution spatial proteomes of intact young cadaveric lumbar IVDs. They revealed novel region-specific profiles of regulatory activities and displayed potential paths of deconstruction in the level- and location-matched aged cadaveric discs. Machine learning methods predicted a 'hydration matrisome' that connects extracellular matrix with MRI intensity. Importantly, the static proteome used as point-references can be integrated with dynamic proteome (SILAC/degradome) and transcriptome data from multiple clinical samples, enhancing robustness and clinical relevance. The data, findings, and methodology, available on a web interface (http://www.sbms.hku.hk/dclab/DIPPER/), will be valuable references in the field of IVD biology and proteomic analytics.	SILAC; ageing; computational biology; degradome; human; intervertebral disc; nucleus pulposus; proteomics; systems biology	20201231	https://pubmed.ncbi.nlm.nih.gov/33382035
Lee, Moosung; Lee, Young-Ho; Song, Jinyeop; Kim, Geon; Jo, YoungJu; Min, HyunSeok; Kim, Chan Hyuk; Park, YongKeun	Deep-learning-based three-dimensional label-free tracking and analysis of immunological synapses of CAR-T cells.	Elife	2020	Elife. 2020 Dec 17;9. pii: 49023. doi: 10.7554/eLife.49023.	The immunological synapse (IS) is a cell-cell junction between a T cell and a professional antigen-presenting cell. Since the IS formation is a critical step for the initiation of an antigen-specific immune response, various live-cell imaging techniques, most of which rely on fluorescence microscopy, have been used to study the dynamics of IS. However, the inherent limitations associated with the fluorescence-based imaging, such as photo-bleaching and photo-toxicity, prevent the long-term assessment of dynamic changes of IS with high frequency. Here, we propose and experimentally validate a label-free, volumetric, and automated assessment method for IS dynamics using a combinational approach of optical diffraction tomography and deep learning-based segmentation. The proposed method enables an automatic and quantitative spatiotemporal analysis of IS kinetics of morphological and biochemical parameters associated with IS dynamics, providing a new option for immunological research.	cell biology; chimeric antigen receptor T cells; deep learning; immunological synapse; immunology; inflammation; optical diffraction tomography; quantitative phase imaging	20201217	https://pubmed.ncbi.nlm.nih.gov/33331817
Kane, Gary A; Lopes, Goncalo; Saunders, Jonny L; Mathis, Alexander; Mathis, Mackenzie W	Real-time, low-latency closed-loop feedback using markerless posture tracking.	Elife	2020	Elife. 2020 Dec 8;9. pii: 61909. doi: 10.7554/eLife.61909.	The ability to control a behavioral task or stimulate neural activity based on animal behavior in real-time is an important tool for experimental neuroscientists. Ideally, such tools are noninvasive, low-latency, and provide interfaces to trigger external hardware based on posture. Recent advances in pose estimation with deep learning allows researchers to train deep neural networks to accurately quantify a wide variety of animal behaviors. Here, we provide a new <monospace>DeepLabCut-Live!</monospace> package that achieves low-latency real-time pose estimation (within 15 ms, >100 FPS), with an additional forward-prediction module that achieves zero-latency feedback, and a dynamic-cropping mode that allows for higher inference speeds. We also provide three options for using this tool with ease: (1) a stand-alone GUI (called <monospace>DLC-Live! GUI</monospace>), and integration into (2) <monospace>Bonsai,</monospace> and (3) <monospace>AutoPilot</monospace>. Lastly, we benchmarked performance on a wide range of systems so that experimentalists can easily decide what hardware is required for their needs.	DeepLabCut; any animal; computational biology; low-latency; mouse; neuroscience; pose-estimation; real-time tracking; systems biology	20201208	https://pubmed.ncbi.nlm.nih.gov/33289631
Pelt, Daniel M	Tackling the challenges of bioimage analysis.	Elife	2020	Elife. 2020 Dec 2;9. pii: 64384. doi: 10.7554/eLife.64384.	Using multiple human annotators and ensembles of trained networks can improve the performance of deep-learning methods in research.	bioimage informatics; computational biology; deep learning; fluorescence microscopy; mouse; neuroscience; objectivity; reproducibility; systems biology; validity; zebrafish	20201202	https://pubmed.ncbi.nlm.nih.gov/33264089
Thomsen, Johannes; Sletfjerding, Magnus Berg; Jensen, Simon Bo; Stella, Stefano; Paul, Bijoya; Malle, Mette Galsgaard; Montoya, Guillermo; Petersen, Troels Christian; Hatzakis, Nikos S	DeepFRET, a software for rapid and automated single-molecule FRET data classification using deep learning.	Elife	2020	Elife. 2020 Nov 3;9. pii: 60404. doi: 10.7554/eLife.60404.	Single-molecule Forster Resonance energy transfer (smFRET) is an adaptable method for studying the structure and dynamics of biomolecules. The development of high throughput methodologies and the growth of commercial instrumentation have outpaced the development of rapid, standardized, and automated methodologies to objectively analyze the wealth of produced data. Here we present DeepFRET, an automated, open-source standalone solution based on deep learning, where the only crucial human intervention in transiting from raw microscope images to histograms of biomolecule behavior, is a user-adjustable quality threshold. Integrating standard features of smFRET analysis, DeepFRET consequently outputs the common kinetic information metrics. Its classification accuracy on ground truth data reached >95% outperforming human operators and commonly used threshold, only requiring ~1% of the time. Its precise and rapid operation on real data demonstrates DeepFRET's capacity to objectively quantify biomolecular dynamics and the potential to contribute to benchmarking smFRET for dynamic structural biology.	FRET; biophysics; deep learning; microscopy; molecular biophysics; none; single molecule; structural biology	20201103	https://pubmed.ncbi.nlm.nih.gov/33138911
Jones, Eric M; Lubock, Nathan B; Venkatakrishnan, A J; Wang, Jeffrey; Tseng, Alex M; Paggi, Joseph M; Latorraca, Naomi R; Cancilla, Daniel; Satyadi, Megan; Davis, Jessica E; Babu, M Madan; Dror, Ron O; Kosuri, Sriram	Structural and functional characterization of G protein-coupled receptors with deep mutational scanning.	Elife	2020	Elife. 2020 Oct 21;9. pii: 54895. doi: 10.7554/eLife.54895.	The >800 human G protein-coupled receptors (GPCRs) are responsible for transducing diverse chemical stimuli to alter cell state- and are the largest class of drug targets. Their myriad structural conformations and various modes of signaling make it challenging to understand their structure and function. Here, we developed a platform to characterize large libraries of GPCR variants in human cell lines with a barcoded transcriptional reporter of G protein signal transduction. We tested 7800 of 7828 possible single amino acid substitutions to the beta-2 adrenergic receptor (beta2AR) at four concentrations of the agonist isoproterenol. We identified residues specifically important for beta2AR signaling, mutations in the human population that are potentially loss of function, and residues that modulate basal activity. Using unsupervised learning, we identify residues critical for signaling, including all major structural motifs and molecular interfaces. We also find a previously uncharacterized structural latch spanning the first two extracellular loops that is highly conserved across Class A GPCRs and is conformationally rigid in both the inactive and active states of the receptor. More broadly, by linking deep mutational scanning with engineered transcriptional reporters, we establish a generalizable method for exploring pharmacogenomics, structure and function across broad classes of drug receptors.	biochemistry; cell signaling; chemical biology; coupled receptors; deep mutational scanning; functional genomics; g protein; human; massively parallel; reporter assays; structure function	20201021	https://pubmed.ncbi.nlm.nih.gov/33084570
Segebarth, Dennis; Griebel, Matthias; Stein, Nikolai; von Collenberg, Cora R; Martin, Corinna; Fiedler, Dominik; Comeras, Lucas B; Sah, Anupam; Schoeffler, Victoria; Luffe, Teresa; Durr, Alexander; Gupta, Rohini; Sasi, Manju; Lillesaar, Christina; Lange, Maren D; Tasan, Ramon O; Singewald, Nicolas; Pape, Hans-Christian; Flath, Christoph M; Blum, Robert	On the objectivity, reliability, and validity of deep learning enabled bioimage analyses.	Elife	2020	Elife. 2020 Oct 19;9. pii: 59780. doi: 10.7554/eLife.59780.	Bioimage analysis of fluorescent labels is widely used in the life sciences. Recent advances in deep learning (DL) allow automating time-consuming manual image analysis processes based on annotated training data. However, manual annotation of fluorescent features with a low signal-to-noise ratio is somewhat subjective. Training DL models on subjective annotations may be instable or yield biased models. In turn, these models may be unable to reliably detect biological effects. An analysis pipeline integrating data annotation, ground truth estimation, and model training can mitigate this risk. To evaluate this integrated process, we compared different DL-based analysis approaches. With data from two model organisms (mice, zebrafish) and five laboratories, we show that ground truth estimation from multiple human annotators helps to establish objectivity in fluorescent feature annotations. Furthermore, ensembles of multiple models trained on the estimated ground truth establish reliability and validity. Our research provides guidelines for reproducible DL-based bioimage analyses.	bioimage informatics; computational biology; deep learning; fluorescence microscopy; mouse; neuroscience; objectivity; reproducibility; systems biology; validity; zebrafish	20201019	https://pubmed.ncbi.nlm.nih.gov/33074102
