Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Albrecht, Steffen; Sprang, Maximilian; Andrade-Navarro, Miguel A; Fontaine, Jean-Fred	seqQscorer: automated quality control of next-generation sequencing data using machine learning.	Genome Biol	2021	Genome Biol. 2021 Mar 5;22(1):75. doi: 10.1186/s13059-021-02294-2.	Controlling quality of next-generation sequencing (NGS) data files is a necessary but complex task. To address this problem, we statistically characterize common NGS quality features and develop a novel quality control procedure involving tree-based and deep learning classification algorithms. Predictive models, validated on internal and external functional genomics datasets, are to some extent generalizable to data from unseen species. The derived statistical guidelines and predictive models represent a valuable resource for users of NGS data to better understand quality issues and perform automatic quality control. Our guidelines and software are available at https://github.com/salbrec/seqQscorer .	Bioinformatics; Classification; Machine learning; Next-generation sequencing data; Quality control	20210305	https://pubmed.ncbi.nlm.nih.gov/33673854
Wang, Dongfang; Hou, Siyu; Zhang, Lei; Wang, Xiliang; Liu, Baolin; Zhang, Zemin	iMAP: integration of multiple single-cell datasets by adversarial paired transfer networks.	Genome Biol	2021	Genome Biol. 2021 Feb 18;22(1):63. doi: 10.1186/s13059-021-02280-8.	The integration of single-cell RNA-sequencing datasets from multiple sources is critical for deciphering cell-to-cell heterogeneities and interactions in complex biological systems. We present a novel unsupervised batch effect removal framework, called iMAP, based on both deep autoencoders and generative adversarial networks. Compared with current methods, iMAP shows superior, robust, and scalable performance in terms of both reliably detecting the batch-specific cells and effectively mixing distributions of the batch-shared cell types. Applying iMAP to tumor microenvironment datasets from two platforms, Smart-seq2 and 10x Genomics, we find that iMAP can leverage the powers of both platforms to discover novel cell-cell interactions.	Data integration; Deep learning; GAN; scRNA-seq	20210218	https://pubmed.ncbi.nlm.nih.gov/33602306
Williams, Justin; Xu, Beisi; Putnam, Daniel; Thrasher, Andrew; Li, Chunliang; Yang, Jun; Chen, Xiang	MethylationToActivity: a deep-learning framework that reveals promoter activity landscapes from DNA methylomes in individual tumors.	Genome Biol	2021	Genome Biol. 2021 Jan 19;22(1):24. doi: 10.1186/s13059-020-02220-y.	Although genome-wide DNA methylomes have demonstrated their clinical value as reliable biomarkers for tumor detection, subtyping, and classification, their direct biological impacts at the individual gene level remain elusive. Here we present MethylationToActivity (M2A), a machine learning framework that uses convolutional neural networks to infer promoter activities based on H3K4me3 and H3K27ac enrichment, from DNA methylation patterns for individual genes. Using publicly available datasets in real-world test scenarios, we demonstrate that M2A is highly accurate and robust in revealing promoter activity landscapes in various pediatric and adult cancers, including both solid and hematologic malignant neoplasms.	Convolutional neural network; DNA methylation; Histone modifications; Transfer learning	20210119	https://pubmed.ncbi.nlm.nih.gov/33461601
Fortelny, Nikolaus; Bock, Christoph	Knowledge-primed neural networks enable biologically interpretable deep learning on single-cell sequencing data.	Genome Biol	2020	Genome Biol. 2020 Aug 3;21(1):190. doi: 10.1186/s13059-020-02100-5.	BACKGROUND: Deep learning has emerged as a versatile approach for predicting complex biological phenomena. However, its utility for biological discovery has so far been limited, given that generic deep neural networks provide little insight into the biological mechanisms that underlie a successful prediction. Here we demonstrate deep learning on biological networks, where every node has a molecular equivalent, such as a protein or gene, and every edge has a mechanistic interpretation, such as a regulatory interaction along a signaling pathway. RESULTS: With knowledge-primed neural networks (KPNNs), we exploit the ability of deep learning algorithms to assign meaningful weights in multi-layered networks, resulting in a widely applicable approach for interpretable deep learning. We present a learning method that enhances the interpretability of trained KPNNs by stabilizing node weights in the presence of redundancy, enhancing the quantitative interpretability of node weights, and controlling for uneven connectivity in biological networks. We validate KPNNs on simulated data with known ground truth and demonstrate their practical use and utility in five biological applications with single-cell RNA-seq data for cancer and immune cells. CONCLUSIONS: We introduce KPNNs as a method that combines the predictive power of deep learning with the interpretability of biological networks. While demonstrated here on single-cell sequencing data, this method is broadly relevant to other research areas where prior domain knowledge can be represented as networks.	Artificial neural networks; Bioinformatic modeling; Cell signaling networks; Deep learning; Functional genomics; Gene regulation; Interpretable machine learning; Single-cell sequencing	20200803	https://pubmed.ncbi.nlm.nih.gov/32746932
He, Yao; Yuan, Hao; Wu, Cheng; Xie, Zhi	DISC: a highly scalable and accurate inference of gene expression and structure for single-cell transcriptomes using semi-supervised deep learning.	Genome Biol	2020	Genome Biol. 2020 Jul 10;21(1):170. doi: 10.1186/s13059-020-02083-3.	Dropouts distort gene expression and misclassify cell types in single-cell transcriptome. Although imputation may improve gene expression and downstream analysis to some degree, it also inevitably introduces false signals. We develop DISC, a novel deep learning network with semi-supervised learning to infer gene structure and expression obscured by dropouts. Compared with seven state-of-the-art imputation approaches on ten real-world datasets, we show that DISC consistently outperforms the other approaches. Its applicability, scalability, and reliability make DISC a promising approach to recover gene expression, enhance gene and cell structures, and improve cell type identification for sparse scRNA-seq data.	Deep learning; Imputation; Semi-supervised learning; Single cell; Transcriptome	20200710	https://pubmed.ncbi.nlm.nih.gov/32650816
Jang, Kiwon; Park, Min Ji; Park, Jae Soon; Hwangbo, Haeun; Sung, Min Kyung; Kim, Sinae; Jung, Jaeyun; Lee, Jong Won; Ahn, Sei-Hyun; Chang, Suhwan; Choi, Jung Kyoon	Computational inference of cancer-specific vulnerabilities in clinical samples.	Genome Biol	2020	Genome Biol. 2020 Jun 29;21(1):155. doi: 10.1186/s13059-020-02077-1.	BACKGROUND: Systematic in vitro loss-of-function screens provide valuable resources that can facilitate the discovery of drugs targeting cancer vulnerabilities. RESULTS: We develop a deep learning-based method to predict tumor-specific vulnerabilities in patient samples by leveraging a wealth of in vitro screening data. Acquired dependencies of tumors are inferred in cases in which one allele is disrupted by inactivating mutations or in association with oncogenic mutations. Nucleocytoplasmic transport by Ran GTPase is identified as a common vulnerability in Her2-positive breast cancers. Vulnerability to loss of Ku70/80 is predicted for tumors that are defective in homologous recombination and rely on nonhomologous end joining for DNA repair. Our experimental validation for Ran, Ku70/80, and a proteasome subunit using patient-derived cells shows that they can be targeted specifically in particular tumors that are predicted to be dependent on them. CONCLUSION: This approach can be applied to facilitate the development of precision therapeutic targets for different tumors.		20200629	https://pubmed.ncbi.nlm.nih.gov/32600395
Jha, Anupama; K Aicher, Joseph; R Gazzara, Matthew; Singh, Deependra; Barash, Yoseph	Enhanced Integrated Gradients: improving interpretability of deep learning models using splicing codes as a case study.	Genome Biol	2020	Genome Biol. 2020 Jun 19;21(1):149. doi: 10.1186/s13059-020-02055-7.	Despite the success and fast adaptation of deep learning models in biomedical domains, their lack of interpretability remains an issue. Here, we introduce Enhanced Integrated Gradients (EIG), a method to identify significant features associated with a specific prediction task. Using RNA splicing prediction as well as digit classification as case studies, we demonstrate that EIG improves upon the original Integrated Gradients method and produces sets of informative features. We then apply EIG to identify A1CF as a key regulator of liver-specific alternative splicing, supporting this finding with subsequent analysis of relevant A1CF functional (RNA-seq) and binding data (PAR-CLIP).	A1CF; Deep learning; Interpretation; Liver-specific splicing; Splicing code	20200619	https://pubmed.ncbi.nlm.nih.gov/32560708
Schreiber, Jacob; Durham, Timothy; Bilmes, Jeffrey; Noble, William Stafford	Avocado: a multi-scale deep tensor factorization method learns a latent representation of the human epigenome.	Genome Biol	2020	Genome Biol. 2020 Mar 30;21(1):81. doi: 10.1186/s13059-020-01977-6.	The human epigenome has been experimentally characterized by thousands of measurements for every basepair in the human genome. We propose a deep neural network tensor factorization method, Avocado, that compresses this epigenomic data into a dense, information-rich representation. We use this learned representation to impute epigenomic data more accurately than previous methods, and we show that machine learning models that exploit this representation outperform those trained directly on epigenomic data on a variety of genomics tasks. These tasks include predicting gene expression, promoter-enhancer interactions, replication timing, and an element of 3D chromatin architecture.		20200330	https://pubmed.ncbi.nlm.nih.gov/32228704
Trieu, Tuan; Martinez-Fundichely, Alexander; Khurana, Ekta	DeepMILO: a deep learning approach to predict the impact of non-coding sequence variants on 3D chromatin structure.	Genome Biol	2020	Genome Biol. 2020 Mar 26;21(1):79. doi: 10.1186/s13059-020-01987-4.	Non-coding variants have been shown to be related to disease by alteration of 3D genome structures. We propose a deep learning method, DeepMILO, to predict the effects of variants on CTCF/cohesin-mediated insulator loops. Application of DeepMILO on variants from whole-genome sequences of 1834 patients of twelve cancer types revealed 672 insulator loops disrupted in at least 10% of patients. Our results show mutations at loop anchors are associated with upregulation of the cancer driver genes BCL2 and MYC in malignant lymphoma thus pointing to a possible new mechanism for their dysregulation via alteration of insulator loops.	3D genome; BCL2; Cancer; Deep learning; MYC; Non-coding mutation	20200326	https://pubmed.ncbi.nlm.nih.gov/32216817
Ruiz-Reche, Angel; Srivastava, Akanksha; Indi, Joel A; de la Rubia, Ivan; Eyras, Eduardo	ReorientExpress: reference-free orientation of nanopore cDNA reads with deep learning.	Genome Biol	2019	Genome Biol. 2019 Nov 29;20(1):260. doi: 10.1186/s13059-019-1884-z.	We describe ReorientExpress, a method to perform reference-free orientation of transcriptomic long sequencing reads. ReorientExpress uses deep learning to correctly predict the orientation of the majority of reads, and in particular when trained on a closely related species or in combination with read clustering. ReorientExpress enables long-read transcriptomics in non-model organisms and samples without a genome reference without using additional technologies and is available at https://github.com/comprna/reorientexpress.		20191129	https://pubmed.ncbi.nlm.nih.gov/31783882
