Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Li, Zhongxiao; Li, Yisheng; Zhang, Bin; Li, Yu; Long, Yongkang; Zhou, Juexiao; Zou, Xudong; Zhang, Min; Hu, Yuhui; Chen, Wei; Gao, Xin	DeeReCT-APA: Prediction of Alternative Polyadenylation Site Usage Through Deep Learning.	Genomics Proteomics Bioinformatics	2021	Genomics Proteomics Bioinformatics. 2021 Mar 1. pii: S1672-0229(21)00049-8. doi: 10.1016/j.gpb.2020.05.004.	Alternative polyadenylation (APA) is a crucial step in post-transcriptional regulation. Previous bioinformatic works have mainly focused on the recognition of polyadenylation sites (PASs) in a given genomic sequence, which is a binary classification problem. Recently, computational methods for predicting the usage level of alternative PASs in a same gene have been proposed. However, all of them cast the problem as a non-quantitative pairwise comparison task and do not take the competition among multiple PASs into account. To address this, here we propose a deep learning architecture, DeeReCT-APA, to quantitatively predict the usage of all alternative PASs of a given gene. To accommodate different genes with potentially different numbers of PASs, DeeReCT-APA treats the problem as a regression task with a variable-length target. Based on a CNN-LSTM architecture, DeeReCT-APA extracts sequence features with CNN layers, uses bidirectional LSTM to explicitly model the interactions among competing PASs, and outputs percentage scores representing the usage levels of all PASs of a gene. In addition to the fact that only our method can predict quantitatively the usage of all the PASs within a gene, we show that our method consistently outperforms other existing methods on three different tasks for which they are trained: pairwise comparison task, highest usage prediction task, and ranking task. Finally, we demonstrate that our method can be used to predict the effect of genetic variations on APA patterns and shed light on future mechanistic understanding in APA regulation. Our code and data are available at https://github.com/lzx325/DeeReCT-APA-repo.	Bioinformatics; Deep learning; Gene regulation; Polyadenylation; Sequence analysis	20210301	https://pubmed.ncbi.nlm.nih.gov/33662629
Wang, Jun; Xie, Xueying; Shi, Junchao; He, Wenjun; Chen, Qi; Chen, Liang; Gu, Wanjun; Zhou, Tong	Denoising Autoencoder, a Deep Learning Algorithm, Aids the Identification of a Novel Molecular Signature of Lung Adenocarcinoma.	Genomics Proteomics Bioinformatics	2020	Genomics Proteomics Bioinformatics. 2020 Dec 17. pii: S1672-0229(20)30137-6. doi: 10.1016/j.gpb.2019.02.003.	Precise biomarker development is a key step in disease management. However, most of the published biomarkers were derived from a relatively small number of samples with supervised approaches. Recent advances in unsupervised machine learning promise to leverage very large datasets for making better predictions of disease biomarkers. Denoising autoencoder (DA) is one of the unsupervised deep learning algorithms, which is a stochastic version of autoencoder techniques. The principle of DA is to force the hidden layer of autoencoder to capture more robust features by reconstructing a clean input from a corrupted one. Here, a DA model was applied to analyze integrated transcriptomic data from 13 published lung cancer studies, which consisted of 1916 human lung tissue samples. Using DA, we discovered a molecular signature composed of multiple genes for lung adenocarcinoma. In independent validation cohorts, the proposed molecular signature proved to be an effective classifier of lung cancer histological type. Also, this signature successfully predicts clinical outcome in lung adenocarcinoma, which is independent of traditional prognostic factors. More importantly, this signature exhibits a superior prognostic power compared with the other published prognostic genes. Our study suggests that unsupervised learning is helpful for biomarker development in the era of precision medicine.	Denoising autoencoder; Lung cancer; Molecular signature; Prognosis; Unsupervised learning	20201217	https://pubmed.ncbi.nlm.nih.gov/33346087
Ning, Wanshan; Xu, Haodong; Jiang, Peiran; Cheng, Han; Deng, Wankun; Guo, Yaping; Xue, Yu	HybridSucc: A Hybrid-learning Architecture for General and Species-specific Succinylation Site Prediction.	Genomics Proteomics Bioinformatics	2020	Genomics Proteomics Bioinformatics. 2020 Apr;18(2):194-207. doi: 10.1016/j.gpb.2019.11.010. Epub 2020 Aug 28.	As an important protein acylation modification, lysine succinylation (Ksucc) is involved in diverse biological processes, and participates in human tumorigenesis. Here, we collected 26,243 non-redundant known Ksucc sites from 13 species as the benchmark data set, combined 10 types of informative features, and implemented a hybrid-learning architecture by integrating deep-learning and conventional machine-learning algorithms into a single framework. We constructed a new tool named HybridSucc, which achieved area under curve (AUC) values of 0.885 and 0.952 for general and human-specific prediction of Ksucc sites, respectively. In comparison, the accuracy of HybridSucc was 17.84%-50.62% better than that of other existing tools. Using HybridSucc, we conducted a proteome-wide prediction and prioritized 370 cancer mutations that change Ksucc states of 218 important proteins, including PKM2, SHMT2, and IDH2. We not only developed a high-profile tool for predicting Ksucc sites, but also generated useful candidates for further experimental consideration. The online service of HybridSucc can be freely accessed for academic research at http://hybridsucc.biocuckoo.org/.	Deep neural network; Deep-learning; Lysine succinylation; Machine-learning; Post-translational modification	20200828	https://pubmed.ncbi.nlm.nih.gov/32861878
Hanson, Jack; Paliwal, Kuldip K; Litfin, Thomas; Zhou, Yaoqi	SPOT-Disorder2: Improved Protein Intrinsic Disorder Prediction by Ensembled Deep Learning.	Genomics Proteomics Bioinformatics	2019	Genomics Proteomics Bioinformatics. 2019 Dec;17(6):645-656. doi: 10.1016/j.gpb.2019.01.004. Epub 2020 Mar 13.	Intrinsically disordered or unstructured proteins (or regions in proteins) have been found to be important in a wide range of biological functions and implicated in many diseases. Due to the high cost and low efficiency of experimental determination of intrinsic disorder and the exponential increase of unannotated protein sequences, developing complementary computational prediction methods has been an active area of research for several decades. Here, we employed an ensemble of deep Squeeze-and-Excitation residual inception and long short-term memory (LSTM) networks for predicting protein intrinsic disorder with input from evolutionary information and predicted one-dimensional structural properties. The method, called SPOT-Disorder2, offers substantial and consistent improvement not only over our previous technique based on LSTM networks alone, but also over other state-of-the-art techniques in three independent tests with different ratios of disordered to ordered amino acid residues, and for sequences with either rich or limited evolutionary information. More importantly, semi-disordered regions predicted in SPOT-Disorder2 are more accurate in identifying molecular recognition features (MoRFs) than methods directly designed for MoRFs prediction. SPOT-Disorder2 is available as a web server and as a standalone program at https://sparks-lab.org/server/spot-disorder2/.	Deep learning; Intrinsic disorder; Machine learning; Molecular recognition feature; Protein structure	20200313	https://pubmed.ncbi.nlm.nih.gov/32173600
Wan, Fangping; Zhu, Yue; Hu, Hailin; Dai, Antao; Cai, Xiaoqing; Chen, Ligong; Gong, Haipeng; Xia, Tian; Yang, Dehua; Wang, Ming-Wei; Zeng, Jianyang	DeepCPI: A Deep Learning-based Framework for Large-scale in silico Drug Screening.	Genomics Proteomics Bioinformatics	2019	Genomics Proteomics Bioinformatics. 2019 Oct;17(5):478-495. doi: 10.1016/j.gpb.2019.04.003. Epub 2020 Feb 6.	Accurate identification of compound-protein interactions (CPIs) in silico may deepen our understanding of the underlying mechanisms of drug action and thus remarkably facilitate drug discovery and development. Conventional similarity- or docking-based computational methods for predicting CPIs rarely exploit latent features from currently available large-scale unlabeled compound and protein data and often limit their usage to relatively small-scale datasets. In the present study, we propose DeepCPI, a novel general and scalable computational framework that combines effective feature embedding (a technique of representation learning) with powerful deep learning methods to accurately predict CPIs at a large scale. DeepCPI automatically learns the implicit yet expressive low-dimensional features of compounds and proteins from a massive amount of unlabeled data. Evaluations of the measured CPIs in large-scale databases, such as ChEMBL and BindingDB, as well as of the known drug-target interactions from DrugBank, demonstrated the superior predictive performance of DeepCPI. Furthermore, several interactions among small-molecule compounds and three G protein-coupled receptor targets (glucagon-like peptide-1 receptor, glucagon receptor, and vasoactive intestinal peptide receptor) predicted using DeepCPI were experimentally validated. The present study suggests that DeepCPI is a useful and powerful tool for drug discovery and repositioning. The source code of DeepCPI can be downloaded from https://github.com/FangpingWan/DeepCPI.	Compound-protein interaction prediction; Deep learning; Drug discovery; In silico drug screening; Machine learning	20200206	https://pubmed.ncbi.nlm.nih.gov/32035227
Chen, Shanyu; He, Zhipeng; Han, Xinyin; He, Xiaoyu; Li, Ruilin; Zhu, Haidong; Zhao, Dan; Dai, Chuangchuang; Zhang, Yu; Lu, Zhonghua; Chi, Xuebin; Niu, Beifang	How Big Data and High-performance Computing Drive Brain Science.	Genomics Proteomics Bioinformatics	2019	Genomics Proteomics Bioinformatics. 2019 Aug;17(4):381-392. doi: 10.1016/j.gpb.2019.09.003. Epub 2019 Dec 2.	Brain science accelerates the study of intelligence and behavior, contributes fundamental insights into human cognition, and offers prospective treatments for brain disease. Faced with the challenges posed by imaging technologies and deep learning computational models, big data and high-performance computing (HPC) play essential roles in studying brain function, brain diseases, and large-scale brain models or connectomes. We review the driving forces behind big data and HPC methods applied to brain science, including deep learning, powerful data analysis capabilities, and computational performance solutions, each of which can be used to improve diagnostic accuracy and research output. This work reinforces predictions that big data and HPC will continue to improve brain science by making ultrahigh-performance analysis possible, by improving data standardization and sharing, and by providing new neuromorphic insights.	Big data; Brain connectomes; Brain science; Deep learning; High-performance computing	20191202	https://pubmed.ncbi.nlm.nih.gov/31805369
Li, Ming	Deep Learning Deciphers Protein-RNA Interaction.	Genomics Proteomics Bioinformatics	2019	Genomics Proteomics Bioinformatics. 2019 Oct;17(5):475-477. doi: 10.1016/j.gpb.2019.11.002. Epub 2019 Nov 23.	?		20191123	https://pubmed.ncbi.nlm.nih.gov/31765832
Zou, Xudong; Gao, Xin; Chen, Wei	Deep Learning Deepens the Analysis of Alternative Splicing.	Genomics Proteomics Bioinformatics	2019	Genomics Proteomics Bioinformatics. 2019 Apr;17(2):219-221. doi: 10.1016/j.gpb.2019.05.001. Epub 2019 May 14.	?		20190514	https://pubmed.ncbi.nlm.nih.gov/31100357
Chen, Zhen; He, Ningning; Huang, Yu; Qin, Wen Tao; Liu, Xuhan; Li, Lei	Integration of A Deep Learning Classifier with A Random Forest Approach for Predicting Malonylation Sites.	Genomics Proteomics Bioinformatics	2018	Genomics Proteomics Bioinformatics. 2018 Dec;16(6):451-459. doi: 10.1016/j.gpb.2018.08.004. Epub 2019 Jan 11.	As a newly-identified protein post-translational modification, malonylation is involved in a variety of biological functions. Recognizing malonylation sites in substrates represents an initial but crucial step in elucidating the molecular mechanisms underlying protein malonylation. In this study, we constructed a deep learning (DL) network classifier based on long short-term memory (LSTM) with word embedding (LSTMWE) for the prediction of mammalian malonylation sites. LSTMWE performs better than traditional classifiers developed with common pre-defined feature encodings or a DL classifier based on LSTM with a one-hot vector. The performance of LSTMWE is sensitive to the size of the training set, but this limitation can be overcome by integration with a traditional machine learning (ML) classifier. Accordingly, an integrated approach called LEMP was developed, which includes LSTMWE and the random forest classifier with a novel encoding of enhanced amino acid content. LEMP performs not only better than the individual classifiers but also superior to the currently-available malonylation predictors. Additionally, it demonstrates a promising performance with a low false positive rate, which is highly useful in the prediction application. Overall, LEMP is a useful tool for easily identifying malonylation sites with high confidence. LEMP is available at http://www.bioinfogo.org/lemp.	Deep learning; LSTM; Malonylation; Random forest; Recurrent neural network	20190111	https://pubmed.ncbi.nlm.nih.gov/30639696
Xie, Yubin; Luo, Xiaotong; Li, Yupeng; Chen, Li; Ma, Wenbin; Huang, Junjiu; Cui, Jun; Zhao, Yong; Xue, Yu; Zuo, Zhixiang; Ren, Jian	DeepNitro: Prediction of Protein Nitration and Nitrosylation Sites by Deep Learning.	Genomics Proteomics Bioinformatics	2018	Genomics Proteomics Bioinformatics. 2018 Aug;16(4):294-306. doi: 10.1016/j.gpb.2018.04.007. Epub 2018 Sep 27.	Protein nitration and nitrosylation are essential post-translational modifications (PTMs) involved in many fundamental cellular processes. Recent studies have revealed that excessive levels of nitration and nitrosylation in some critical proteins are linked to numerous chronic diseases. Therefore, the identification of substrates that undergo such modifications in a site-specific manner is an important research topic in the community and will provide candidates for targeted therapy. In this study, we aimed to develop a computational tool for predicting nitration and nitrosylation sites in proteins. We first constructed four types of encoding features, including positional amino acid distributions, sequence contextual dependencies, physicochemical properties, and position-specific scoring features, to represent the modified residues. Based on these encoding features, we established a predictor called DeepNitro using deep learning methods for predicting protein nitration and nitrosylation. Using n-fold cross-validation, our evaluation shows great AUC values for DeepNitro, 0.65 for tyrosine nitration, 0.80 for tryptophan nitration, and 0.70 for cysteine nitrosylation, respectively, demonstrating the robustness and reliability of our tool. Also, when tested in the independent dataset, DeepNitro is substantially superior to other similar tools with a 7%-42% improvement in the prediction performance. Taken together, the application of deep learning method and novel encoding schemes, especially the position-specific scoring feature, greatly improves the accuracy of nitration and nitrosylation site prediction and may facilitate the prediction of other PTM sites. DeepNitro is implemented in JAVA and PHP and is freely available for academic research at http://deepnitro.renlab.org.	Deep learning; Feature extraction; Functional site prediction; Protein nitration and nitrosylation; Web service	20180927	https://pubmed.ncbi.nlm.nih.gov/30268931
