Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Shi, Liang; Li, Beichen; Kim, Changil; Kellnhofer, Petr; Matusik, Wojciech	Towards real-time photorealistic 3D holography with deep neural networks.	Nature	2021	Nature. 2021 Mar;591(7849):234-239. doi: 10.1038/s41586-020-03152-0. Epub 2021 Mar 10.	The ability to present three-dimensional (3D) scenes with continuous depth sensation has a profound impact on virtual and augmented reality, human-computer interaction, education and training. Computer-generated holography (CGH) enables high-spatio-angular-resolution 3D projection via numerical simulation of diffraction and interference(1). Yet, existing physically based methods fail to produce holograms with both per-pixel focal control and accurate occlusion(2,3). The computationally taxing Fresnel diffraction simulation further places an explicit trade-off between image quality and runtime, making dynamic holography impractical(4). Here we demonstrate a deep-learning-based CGH pipeline capable of synthesizing a photorealistic colour 3D hologram from a single RGB-depth image in real time. Our convolutional neural network (CNN) is extremely memory efficient (below 620 kilobytes) and runs at 60 hertz for a resolution of 1,920 x 1,080 pixels on a single consumer-grade graphics processing unit. Leveraging low-power on-device artificial intelligence acceleration chips, our CNN also runs interactively on mobile (iPhone 11 Pro at 1.1 hertz) and edge (Google Edge TPU at 2.0 hertz) devices, promising real-time performance in future-generation virtual and augmented-reality mobile headsets. We enable this pipeline by introducing a large-scale CGH dataset (MIT-CGH-4K) with 4,000 pairs of RGB-depth images and corresponding 3D holograms. Our CNN is trained with differentiable wave-based loss functions(5) and physically approximates Fresnel diffraction. With an anti-aliasing phase-only encoding method, we experimentally demonstrate speckle-free, natural-looking, high-resolution 3D holograms. Our learning-based approach and the Fresnel hologram dataset will help to unlock the full potential of holography and enable applications in metasurface design(6,7), optical and acoustic tweezer-based microscopic manipulation(8-10), holographic microscopy(11) and single-exposure volumetric 3D printing(12,13).		20210310	https://pubmed.ncbi.nlm.nih.gov/33692557
Ou, Xiangyu; Qin, Xian; Huang, Bolong; Zan, Jie; Wu, Qinxia; Hong, Zhongzhu; Xie, Lili; Bian, Hongyu; Yi, Zhigao; Chen, Xiaofeng; Wu, Yiming; Song, Xiaorong; Li, Juan; Chen, Qiushui; Yang, Huanghao; Liu, Xiaogang	High-resolution X-ray luminescence extension imaging.	Nature	2021	Nature. 2021 Feb;590(7846):410-415. doi: 10.1038/s41586-021-03251-6. Epub 2021 Feb 17.	Current X-ray imaging technologies involving flat-panel detectors have difficulty in imaging three-dimensional objects because fabrication of large-area, flexible, silicon-based photodetectors on highly curved surfaces remains a challenge(1-3). Here we demonstrate ultralong-lived X-ray trapping for flat-panel-free, high-resolution, three-dimensional imaging using a series of solution-processable, lanthanide-doped nanoscintillators. Corroborated by quantum mechanical simulations of defect formation and electronic structures, our experimental characterizations reveal that slow hopping of trapped electrons due to radiation-triggered anionic migration in host lattices can induce more than 30 days of persistent radioluminescence. We further demonstrate X-ray luminescence extension imaging with resolution greater than 20 line pairs per millimetre and optical memory longer than 15 days. These findings provide insight into mechanisms underlying X-ray energy conversion through enduring electron trapping and offer a paradigm to motivate future research in wearable X-ray detectors for patient-centred radiography and mammography, imaging-guided therapeutics, high-energy physics and deep learning in radiology.		20210217	https://pubmed.ncbi.nlm.nih.gov/33597760
Perkel, Jeffrey M	Ten computer codes that transformed science.	Nature	2021	Nature. 2021 Jan;589(7842):344-348. doi: 10.1038/d41586-021-00075-2.	?	Computer science; Mathematics and computing; Software; Technology	?	https://pubmed.ncbi.nlm.nih.gov/33473232
Cowen, Alan S; Keltner, Dacher; Schroff, Florian; Jou, Brendan; Adam, Hartwig; Prasad, Gautam	Sixteen facial expressions occur in similar contexts worldwide.	Nature	2021	Nature. 2021 Jan;589(7841):251-257. doi: 10.1038/s41586-020-3037-7. Epub 2020 Dec 16.	Understanding the degree to which human facial expressions co-vary with specific social contexts across cultures is central to the theory that emotions enable adaptive responses to important challenges and opportunities(1-6). Concrete evidence linking social context to specific facial expressions is sparse and is largely based on survey-based approaches, which are often constrained by language and small sample sizes(7-13). Here, by applying machine-learning methods to real-world, dynamic behaviour, we ascertain whether naturalistic social contexts (for example, weddings or sporting competitions) are associated with specific facial expressions(14) across different cultures. In two experiments using deep neural networks, we examined the extent to which 16 types of facial expression occurred systematically in thousands of contexts in 6 million videos from 144 countries. We found that each kind of facial expression had distinct associations with a set of contexts that were 70% preserved across 12 world regions. Consistent with these associations, regions varied in how frequently different facial expressions were produced as a function of which contexts were most salient. Our results reveal fine-grained patterns in human facial expressions that are preserved across the modern world.		20201216	https://pubmed.ncbi.nlm.nih.gov/33328631
Callaway, Ewen	'It will change everything': DeepMind's AI makes gigantic leap in solving protein structures.	Nature	2020	Nature. 2020 Dec;588(7837):203-204. doi: 10.1038/d41586-020-03348-4.	?	Computational biology and bioinformatics; Drug discovery; Structural biology	?	https://pubmed.ncbi.nlm.nih.gov/33257889
Brandt, Martin; Tucker, Compton J; Kariryaa, Ankit; Rasmussen, Kjeld; Abel, Christin; Small, Jennifer; Chave, Jerome; Rasmussen, Laura Vang; Hiernaux, Pierre; Diouf, Abdoul Aziz; Kergoat, Laurent; Mertz, Ole; Igel, Christian; Gieseke, Fabian; Schoning, Johannes; Li, Sizhuo; Melocik, Katherine; Meyer, Jesse; Sinno, Scott; Romero, Eric; Glennie, Erin; Montagu, Amandine; Dendoncker, Morgane; Fensholt, Rasmus	An unexpectedly large count of trees in the West African Sahara and Sahel.	Nature	2020	Nature. 2020 Nov;587(7832):78-82. doi: 10.1038/s41586-020-2824-5. Epub 2020 Oct 14.	A large proportion of dryland trees and shrubs (hereafter referred to collectively as trees) grow in isolation, without canopy closure. These non-forest trees have a crucial role in biodiversity, and provide ecosystem services such as carbon storage, food resources and shelter for humans and animals(1,2). However, most public interest relating to trees is devoted to forests, and trees outside of forests are not well-documented(3). Here we map the crown size of each tree more than 3 m(2) in size over a land area that spans 1.3 million km(2) in the West African Sahara, Sahel and sub-humid zone, using submetre-resolution satellite imagery and deep learning(4). We detected over 1.8 billion individual trees (13.4 trees per hectare), with a median crown size of 12 m(2), along a rainfall gradient from 0 to 1,000 mm per year. The canopy cover increases from 0.1% (0.7 trees per hectare) in hyper-arid areas, through 1.6% (9.9 trees per hectare) in arid and 5.6% (30.1 trees per hectare) in semi-arid zones, to 13.3% (47 trees per hectare) in sub-humid areas. Although the overall canopy cover is low, the relatively high density of isolated trees challenges prevailing narratives about dryland desertification(5-7), and even the desert shows a surprisingly high tree density. Our assessment suggests a way to monitor trees outside of forests globally, and to explore their role in mitigating degradation, climate change and poverty.		20201014	https://pubmed.ncbi.nlm.nih.gov/33057199
Muller, Johannes B; Geyer, Philipp E; Colaco, Ana R; Treit, Peter V; Strauss, Maximilian T; Oroshi, Mario; Doll, Sophia; Virreira Winter, Sebastian; Bader, Jakob M; Kohler, Niklas; Theis, Fabian; Santos, Alberto; Mann, Matthias	The proteome landscape of the kingdoms of life.	Nature	2020	Nature. 2020 Jun;582(7813):592-596. doi: 10.1038/s41586-020-2402-x. Epub 2020 Jun 17.	Proteins carry out the vast majority of functions in all biological domains, but for technological reasons their large-scale investigation has lagged behind the study of genomes. Since the first essentially complete eukaryotic proteome was reported(1), advances in mass-spectrometry-based proteomics(2) have enabled increasingly comprehensive identification and quantification of the human proteome(3-6). However, there have been few comparisons across species(7,8), in stark contrast with genomics initiatives(9). Here we use an advanced proteomics workflow-in which the peptide separation step is performed by a microstructured and extremely reproducible chromatographic system-for the in-depth study of 100 taxonomically diverse organisms. With two million peptide and 340,000 stringent protein identifications obtained in a standardized manner, we double the number of proteins with solid experimental evidence known to the scientific community. The data also provide a large-scale case study for sequence-based machine learning, as we demonstrate by experimentally confirming the predicted properties of peptides from Bacteroides uniformis. Our results offer a comparative view of the functional organization of organisms across the entire evolutionary range. A remarkably high fraction of the total proteome mass in all kingdoms is dedicated to protein homeostasis and folding, highlighting the biological challenge of maintaining protein structure in all branches of life. Likewise, a universally high fraction is involved in supplying energy resources, although these pathways range from photosynthesis through iron sulfur metabolism to carbohydrate metabolism. Generally, however, proteins and proteomes are remarkably diverse between organisms, and they can readily be explored and functionally compared at www.proteomesoflife.org.		20200617	https://pubmed.ncbi.nlm.nih.gov/32555458
Landhuis, Esther	Deep learning takes on tumours.	Nature	2020	Nature. 2020 Apr;580(7804):551-553. doi: 10.1038/d41586-020-01128-8.	?	Cancer; Computational biology and bioinformatics; Computer science; Microscopy	?	https://pubmed.ncbi.nlm.nih.gov/32317799
Chabon, Jacob J; Hamilton, Emily G; Kurtz, David M; Esfahani, Mohammad S; Moding, Everett J; Stehr, Henning; Schroers-Martin, Joseph; Nabet, Barzin Y; Chen, Binbin; Chaudhuri, Aadel A; Liu, Chih Long; Hui, Angela B; Jin, Michael C; Azad, Tej D; Almanza, Diego; Jeon, Young-Jun; Nesselbush, Monica C; Co Ting Keh, Lyron; Bonilla, Rene F; Yoo, Christopher H; Ko, Ryan B; Chen, Emily L; Merriott, David J; Massion, Pierre P; Mansfield, Aaron S; Jen, Jin; Ren, Hong Z; Lin, Steven H; Costantino, Christina L; Burr, Risa; Tibshirani, Robert; Gambhir, Sanjiv S; Berry, Gerald J; Jensen, Kristin C; West, Robert B; Neal, Joel W; Wakelee, Heather A; Loo, Billy W Jr; Kunder, Christian A; Leung, Ann N; Lui, Natalie S; Berry, Mark F; Shrager, Joseph B; Nair, Viswam S; Haber, Daniel A; Sequist, Lecia V; Alizadeh, Ash A; Diehn, Maximilian	Integrating genomic features for non-invasive early lung cancer detection.	Nature	2020	Nature. 2020 Apr;580(7802):245-251. doi: 10.1038/s41586-020-2140-0. Epub 2020 Mar 25.	Radiologic screening of high-risk adults reduces lung-cancer-related mortality(1,2); however, a small minority of eligible individuals undergo such screening in the United States(3,4). The availability of blood-based tests could increase screening uptake. Here we introduce improvements to cancer personalized profiling by deep sequencing (CAPP-Seq)(5), a method for the analysis of circulating tumour DNA (ctDNA), to better facilitate screening applications. We show that, although levels are very low in early-stage lung cancers, ctDNA is present prior to treatment in most patients and its presence is strongly prognostic. We also find that the majority of somatic mutations in the cell-free DNA (cfDNA) of patients with lung cancer and of risk-matched controls reflect clonal haematopoiesis and are non-recurrent. Compared with tumour-derived mutations, clonal haematopoiesis mutations occur on longer cfDNA fragments and lack mutational signatures that are associated with tobacco smoking. Integrating these findings with other molecular features, we develop and prospectively validate a machine-learning method termed 'lung cancer likelihood in plasma' (Lung-CLiP), which can robustly discriminate early-stage lung cancer patients from risk-matched controls. This approach achieves performance similar to that of tumour-informed ctDNA detection and enables tuning of assay specificity in order to facilitate distinct clinical applications. Our findings establish the potential of cfDNA for lung cancer screening and highlight the importance of risk-matching cases and controls in cfDNA-based screening studies.		20200325	https://pubmed.ncbi.nlm.nih.gov/32269342
Ouyang, David; He, Bryan; Ghorbani, Amirata; Yuan, Neal; Ebinger, Joseph; Langlotz, Curtis P; Heidenreich, Paul A; Harrington, Robert A; Liang, David H; Ashley, Euan A; Zou, James Y	Video-based AI for beat-to-beat assessment of cardiac function.	Nature	2020	Nature. 2020 Apr;580(7802):252-256. doi: 10.1038/s41586-020-2145-8. Epub 2020 Mar 25.	Accurate assessment of cardiac function is crucial for the diagnosis of cardiovascular disease(1), screening for cardiotoxicity(2) and decisions regarding the clinical management of patients with a critical illness(3). However, human assessment of cardiac function focuses on a limited sampling of cardiac cycles and has considerable inter-observer variability despite years of training(4,5). Here, to overcome this challenge, we present a video-based deep learning algorithm-EchoNet-Dynamic-that surpasses the performance of human experts in the critical tasks of segmenting the left ventricle, estimating ejection fraction and assessing cardiomyopathy. Trained on echocardiogram videos, our model accurately segments the left ventricle with a Dice similarity coefficient of 0.92, predicts ejection fraction with a mean absolute error of 4.1% and reliably classifies heart failure with reduced ejection fraction (area under the curve of 0.97). In an external dataset from another healthcare system, EchoNet-Dynamic predicts the ejection fraction with a mean absolute error of 6.0% and classifies heart failure with reduced ejection fraction with an area under the curve of 0.96. Prospective evaluation with repeated human measurements confirms that the model has variance that is comparable to or less than that of human experts. By leveraging information across multiple cardiac cycles, our model can rapidly identify subtle changes in ejection fraction, is more reproducible than human evaluation and lays the foundation for precise diagnosis of cardiovascular disease in real time. As a resource to promote further innovation, we also make publicly available a large dataset of 10,030 annotated echocardiogram videos.		20200325	https://pubmed.ncbi.nlm.nih.gov/32269341
