Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Naito, Tatsuhiko; Suzuki, Ken; Hirata, Jun; Kamatani, Yoichiro; Matsuda, Koichi; Toda, Tatsushi; Okada, Yukinori	A deep learning method for HLA imputation and trans-ethnic MHC fine-mapping of type 1 diabetes.	Nat Commun	2021	Nat Commun. 2021 Mar 12;12(1):1639. doi: 10.1038/s41467-021-21975-x.	Conventional human leukocyte antigen (HLA) imputation methods drop their performance for infrequent alleles, which is one of the factors that reduce the reliability of trans-ethnic major histocompatibility complex (MHC) fine-mapping due to inter-ethnic heterogeneity in allele frequency spectra. We develop DEEP*HLA, a deep learning method for imputing HLA genotypes. Through validation using the Japanese and European HLA reference panels (n = 1,118 and 5,122), DEEP*HLA achieves the highest accuracies with significant superiority for low-frequency and rare alleles. DEEP*HLA is less dependent on distance-dependent linkage disequilibrium decay of the target alleles and might capture the complicated region-wide information. We apply DEEP*HLA to type 1 diabetes GWAS data from BioBank Japan (n = 62,387) and UK Biobank (n = 354,459), and successfully disentangle independently associated class I and II HLA variants with shared risk among diverse populations (the top signal at amino acid position 71 of HLA-DRbeta1; P = 7.5 x 10(-120)). Our study illustrates the value of deep learning in genotype imputation and trans-ethnic MHC fine-mapping.		20210312	https://pubmed.ncbi.nlm.nih.gov/33712626
Wang, Xiaodong; Chen, Ying; Gao, Yunshu; Zhang, Huiqing; Guan, Zehui; Dong, Zhou; Zheng, Yuxuan; Jiang, Jiarui; Yang, Haoqing; Wang, Liming; Huang, Xianming; Ai, Lirong; Yu, Wenlong; Li, Hongwei; Dong, Changsheng; Zhou, Zhou; Liu, Xiyang; Yu, Guanzhen	Predicting gastric cancer outcome from resected lymph node histopathology images using deep learning.	Nat Commun	2021	Nat Commun. 2021 Mar 12;12(1):1637. doi: 10.1038/s41467-021-21674-7.	N-staging is a determining factor for prognostic assessment and decision-making for stage-based cancer therapeutic strategies. Visual inspection of whole-slides of intact lymph nodes is currently the main method used by pathologists to calculate the number of metastatic lymph nodes (MLNs). Moreover, even at the same N stage, the outcome of patients varies dramatically. Here, we propose a deep-learning framework for analyzing lymph node whole-slide images (WSIs) to identify lymph nodes and tumor regions, and then to uncover tumor-area-to-MLN-area ratio (T/MLN). After training, our model's tumor detection performance was comparable to that of experienced pathologists and achieved similar performance on two independent gastric cancer validation cohorts. Further, we demonstrate that T/MLN is an interpretable independent prognostic factor. These findings indicate that deep-learning models could assist not only pathologists in detecting lymph nodes with metastases but also oncologists in exploring new prognostic factors, especially those that are difficult to calculate manually.		20210312	https://pubmed.ncbi.nlm.nih.gov/33712598
Diao, James A; Wang, Jason K; Chui, Wan Fung; Mountain, Victoria; Gullapally, Sai Chowdary; Srinivasan, Ramprakash; Mitchell, Richard N; Glass, Benjamin; Hoffman, Sara; Rao, Sudha K; Maheshwari, Chirag; Lahiri, Abhik; Prakash, Aaditya; McLoughlin, Ryan; Kerner, Jennifer K; Resnick, Murray B; Montalto, Michael C; Khosla, Aditya; Wapinski, Ilan N; Beck, Andrew H; Elliott, Hunter L; Taylor-Weiner, Amaro	Human-interpretable image features derived from densely mapped cancer pathology slides predict diverse molecular phenotypes.	Nat Commun	2021	Nat Commun. 2021 Mar 12;12(1):1613. doi: 10.1038/s41467-021-21896-9.	Computational methods have made substantial progress in improving the accuracy and throughput of pathology workflows for diagnostic, prognostic, and genomic prediction. Still, lack of interpretability remains a significant barrier to clinical integration. We present an approach for predicting clinically-relevant molecular phenotypes from whole-slide histopathology images using human-interpretable image features (HIFs). Our method leverages >1.6 million annotations from board-certified pathologists across >5700 samples to train deep learning models for cell and tissue classification that can exhaustively map whole-slide images at two and four micron-resolution. Cell- and tissue-type model outputs are combined into 607 HIFs that quantify specific and biologically-relevant characteristics across five cancer types. We demonstrate that these HIFs correlate with well-known markers of the tumor microenvironment and can predict diverse molecular signatures (AUROC 0.601-0.864), including expression of four immune checkpoint proteins and homologous recombination deficiency, with performance comparable to 'black-box' methods. Our HIF-based approach provides a comprehensive, quantitative, and interpretable window into the composition and spatial architecture of the tumor microenvironment.		20210312	https://pubmed.ncbi.nlm.nih.gov/33712588
Sidhom, John-William; Larman, H Benjamin; Pardoll, Drew M; Baras, Alexander S	DeepTCR is a deep learning framework for revealing sequence concepts within T-cell repertoires.	Nat Commun	2021	Nat Commun. 2021 Mar 11;12(1):1605. doi: 10.1038/s41467-021-21879-w.	Deep learning algorithms have been utilized to achieve enhanced performance in pattern-recognition tasks. The ability to learn complex patterns in data has tremendous implications in immunogenomics. T-cell receptor (TCR) sequencing assesses the diversity of the adaptive immune system and allows for modeling its sequence determinants of antigenicity. We present DeepTCR, a suite of unsupervised and supervised deep learning methods able to model highly complex TCR sequencing data by learning a joint representation of a TCR by its CDR3 sequences and V/D/J gene usage. We demonstrate the utility of deep learning to provide an improved 'featurization' of the TCR across multiple human and murine datasets, including improved classification of antigen-specific TCRs and extraction of antigen-specific TCRs from noisy single-cell RNA-Seq and T-cell culture-based assays. Our results highlight the flexibility and capacity for deep neural networks to extract meaningful information from complex immunogenomic data for both descriptive and predictive purposes.		20210311	https://pubmed.ncbi.nlm.nih.gov/33707415
Vitsios, Dimitrios; Dhindsa, Ryan S; Middleton, Lawrence; Gussow, Ayal B; Petrovski, Slave	Prioritizing non-coding regions based on human genomic constraint and sequence context with deep learning.	Nat Commun	2021	Nat Commun. 2021 Mar 8;12(1):1504. doi: 10.1038/s41467-021-21790-4.	Elucidating functionality in non-coding regions is a key challenge in human genomics. It has been shown that intolerance to variation of coding and proximal non-coding sequence is a strong predictor of human disease relevance. Here, we integrate intolerance to variation, functional genomic annotations and primary genomic sequence to build JARVIS: a comprehensive deep learning model to prioritize non-coding regions, outperforming other human lineage-specific scores. Despite being agnostic to evolutionary conservation, JARVIS performs comparably or outperforms conservation-based scores in classifying pathogenic single-nucleotide and structural variants. In constructing JARVIS, we introduce the genome-wide residual variation intolerance score (gwRVIS), applying a sliding-window approach to whole genome sequencing data from 62,784 individuals. gwRVIS distinguishes Mendelian disease genes from more tolerant CCDS regions and highlights ultra-conserved non-coding elements as the most intolerant regions in the human genome. Both JARVIS and gwRVIS capture previously inaccessible human-lineage constraint information and will enhance our understanding of the non-coding genome.		20210308	https://pubmed.ncbi.nlm.nih.gov/33686085
Fan, Zhao; Ma, Evan	Predicting orientation-dependent plastic susceptibility from static structure in amorphous solids via deep learning.	Nat Commun	2021	Nat Commun. 2021 Mar 8;12(1):1506. doi: 10.1038/s41467-021-21806-z.	It has been a long-standing materials science challenge to establish structure-property relations in amorphous solids. Here we introduce a rotationally non-invariant local structure representation that enables different predictions for different loading orientations, which is found essential for high-fidelity prediction of the propensity for stress-driven shear transformations. This novel structure representation, when combined with convolutional neural network (CNN), a powerful deep learning algorithm, leads to unprecedented accuracy for identifying atoms with high propensity for shear transformations (i.e., plastic susceptibility), solely from the static structure in both two- and three-dimensional model glasses. The data-driven models trained on samples at one composition and a given processing history are found transferrable to glass samples with different processing histories or at different compositions in the same alloy system. Our analysis of the new structure representation also provides valuable insight into key atomic packing features that influence the local mechanical response and its anisotropy in glasses.		20210308	https://pubmed.ncbi.nlm.nih.gov/33686082
Lal, Avantika; Chiang, Zachary D; Yakovenko, Nikolai; Duarte, Fabiana M; Israeli, Johnny; Buenrostro, Jason D	Deep learning-based enhancement of epigenomics data with AtacWorks.	Nat Commun	2021	Nat Commun. 2021 Mar 8;12(1):1507. doi: 10.1038/s41467-021-21765-5.	ATAC-seq is a widely-applied assay used to measure genome-wide chromatin accessibility; however, its ability to detect active regulatory regions can depend on the depth of sequencing coverage and the signal-to-noise ratio. Here we introduce AtacWorks, a deep learning toolkit to denoise sequencing coverage and identify regulatory peaks at base-pair resolution from low cell count, low-coverage, or low-quality ATAC-seq data. Models trained by AtacWorks can detect peaks from cell types not seen in the training data, and are generalizable across diverse sample preparations and experimental platforms. We demonstrate that AtacWorks enhances the sensitivity of single-cell experiments by producing results on par with those of conventional methods using ~10 times as many cells, and further show that this framework can be adapted to enable cross-modality inference of protein-DNA interactions. Finally, we establish that AtacWorks can enable new biological discoveries by identifying active regulatory regions associated with lineage priming in rare subpopulations of hematopoietic stem cells.		20210308	https://pubmed.ncbi.nlm.nih.gov/33686069
Kuang, Wenhuan; Yuan, Congcong; Zhang, Jie	Real-time determination of earthquake focal mechanism via deep learning.	Nat Commun	2021	Nat Commun. 2021 Mar 4;12(1):1432. doi: 10.1038/s41467-021-21670-x.	An immediate report of the source focal mechanism with full automation after a destructive earthquake is crucial for timely characterizing the faulting geometry, evaluating the stress perturbation, and assessing the aftershock patterns. Advanced technologies such as Artificial Intelligence (AI) has been introduced to solve various problems in real-time seismology, but the real-time source focal mechanism is still a challenge. Here we propose a novel deep learning method namely Focal Mechanism Network (FMNet) to address this problem. The FMNet trained with 787,320 synthetic samples successfully estimates the focal mechanisms of four 2019 Ridgecrest earthquakes with magnitude larger than Mw 5.4. The network learns the global waveform characteristics from theoretical data, thereby allowing the extensive applications of the proposed method to regions of potential seismic hazards with or without historical earthquake data. After receiving data, the network takes less than two hundred milliseconds for predicting the source focal mechanism reliably on a single CPU.		20210304	https://pubmed.ncbi.nlm.nih.gov/33664244
Giambagli, Lorenzo; Buffoni, Lorenzo; Carletti, Timoteo; Nocentini, Walter; Fanelli, Duccio	Machine learning in spectral domain.	Nat Commun	2021	Nat Commun. 2021 Feb 26;12(1):1330. doi: 10.1038/s41467-021-21481-0.	Deep neural networks are usually trained in the space of the nodes, by adjusting the weights of existing links via suitable optimization protocols. We here propose a radically new approach which anchors the learning process to reciprocal space. Specifically, the training acts on the spectral domain and seeks to modify the eigenvalues and eigenvectors of transfer operators in direct space. The proposed method is ductile and can be tailored to return either linear or non-linear classifiers. Adjusting the eigenvalues, when freezing the eigenvectors entries, yields performances that are superior to those attained with standard methods restricted to operate with an identical number of free parameters. To recover a feed-forward architecture in direct space, we have postulated a nested indentation of the eigenvectors. Different non-orthogonal basis could be employed to export the spectral learning to other frameworks, as e.g. reservoir computing.		20210226	https://pubmed.ncbi.nlm.nih.gov/33637729
Wang, Qi; Kille, Bryce; Liu, Tian Rui; Elworth, R A Leo; Treangen, Todd J	PlasmidHawk improves lab of origin prediction of engineered plasmids using sequence alignment.	Nat Commun	2021	Nat Commun. 2021 Feb 26;12(1):1167. doi: 10.1038/s41467-021-21180-w.	With advances in synthetic biology and genome engineering comes a heightened awareness of potential misuse related to biosafety concerns. A recent study employed machine learning to identify the lab-of-origin of DNA sequences to help mitigate some of these concerns. Despite their promising results, this deep learning based approach had limited accuracy, was computationally expensive to train, and wasn't able to provide the precise features that were used in its predictions. To address these shortcomings, we developed PlasmidHawk for lab-of-origin prediction. Compared to a machine learning approach, PlasmidHawk has higher prediction accuracy; PlasmidHawk can successfully predict unknown sequences' depositing labs 76% of the time and 85% of the time the correct lab is in the top 10 candidates. In addition, PlasmidHawk can precisely single out the signature sub-sequences that are responsible for the lab-of-origin detection. In summary, PlasmidHawk represents an explainable and accurate tool for lab-of-origin prediction of synthetic plasmid sequences. PlasmidHawk is available at https://gitlab.com/treangenlab/plasmidhawk.git .		20210226	https://pubmed.ncbi.nlm.nih.gov/33637701
