Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Miraldi, Emily R; Chen, Xiaoting; Weirauch, Matthew T	Deciphering cis-regulatory grammar with deep learning.	Nat Genet	2021	Nat Genet. 2021 Mar;53(3):266-268. doi: 10.1038/s41588-021-00814-1.	?		?	https://pubmed.ncbi.nlm.nih.gov/33686263
Avsec, Ziga; Weilert, Melanie; Shrikumar, Avanti; Krueger, Sabrina; Alexandari, Amr; Dalal, Khyati; Fropf, Robin; McAnany, Charles; Gagneur, Julien; Kundaje, Anshul; Zeitlinger, Julia	Base-resolution models of transcription-factor binding reveal soft motif syntax.	Nat Genet	2021	Nat Genet. 2021 Mar;53(3):354-366. doi: 10.1038/s41588-021-00782-6. Epub 2021 Feb 18.	The arrangement (syntax) of transcription factor (TF) binding motifs is an important part of the cis-regulatory code, yet remains elusive. We introduce a deep learning model, BPNet, that uses DNA sequence to predict base-resolution chromatin immunoprecipitation (ChIP)-nexus binding profiles of pluripotency TFs. We develop interpretation tools to learn predictive motif representations and identify soft syntax rules for cooperative TF binding interactions. Strikingly, Nanog preferentially binds with helical periodicity, and TFs often cooperate in a directional manner, which we validate using clustered regularly interspaced short palindromic repeat (CRISPR)-induced point mutations. Our model represents a powerful general approach to uncover the motifs and syntax of cis-regulatory sequences in genomics data.		20210218	https://pubmed.ncbi.nlm.nih.gov/33603233
Park, Christopher Y; Zhou, Jian; Wong, Aaron K; Chen, Kathleen M; Theesfeld, Chandra L; Darnell, Robert B; Troyanskaya, Olga G	Genome-wide landscape of RNA-binding protein target site dysregulation reveals a major impact on psychiatric disorder risk.	Nat Genet	2021	Nat Genet. 2021 Feb;53(2):166-173. doi: 10.1038/s41588-020-00761-3. Epub 2021 Jan 18.	Despite the strong genetic basis of psychiatric disorders, the underlying molecular mechanisms are largely unmapped. RNA-binding proteins (RBPs) are responsible for most post-transcriptional regulation, from splicing to translation to localization. RBPs thus act as key gatekeepers of cellular homeostasis, especially in the brain. However, quantifying the pathogenic contribution of noncoding variants impacting RBP target sites is challenging. Here, we leverage a deep learning approach that can accurately predict the RBP target site dysregulation effects of mutations and discover that RBP dysregulation is a principal contributor to psychiatric disorder risk. RBP dysregulation explains a substantial amount of heritability not captured by large-scale molecular quantitative trait loci studies and has a stronger impact than common coding region variants. We share the genome-wide profiles of RBP dysregulation, which we use to identify DDHD2 as a candidate schizophrenia risk gene. This resource provides a new analytical framework to connect the full range of RNA regulation to complex disease.		20210118	https://pubmed.ncbi.nlm.nih.gov/33462483
Zhou, Jian; Park, Christopher Y; Theesfeld, Chandra L; Wong, Aaron K; Yuan, Yuan; Scheckel, Claudia; Fak, John J; Funk, Julien; Yao, Kevin; Tajima, Yoko; Packer, Alan; Darnell, Robert B; Troyanskaya, Olga G	Whole-genome deep-learning analysis identifies contribution of noncoding mutations to autism risk.	Nat Genet	2019	Nat Genet. 2019 Jun;51(6):973-980. doi: 10.1038/s41588-019-0420-0. Epub 2019 May 27.	We address the challenge of detecting the contribution of noncoding mutations to disease with a deep-learning-based framework that predicts the specific regulatory effects and the deleterious impact of genetic variants. Applying this framework to 1,790 autism spectrum disorder (ASD) simplex families reveals a role in disease for noncoding mutations-ASD probands harbor both transcriptional- and post-transcriptional-regulation-disrupting de novo mutations of significantly higher functional impact than those in unaffected siblings. Further analysis suggests involvement of noncoding mutations in synaptic transmission and neuronal development and, taken together with previous studies, reveals a convergent genetic landscape of coding and noncoding mutations in ASD. We demonstrate that sequences carrying prioritized mutations identified in probands possess allele-specific regulatory activity, and we highlight a link between noncoding mutations and heterogeneity in the IQ of ASD probands. Our predictive genomics framework illuminates the role of noncoding mutations in ASD and prioritizes mutations with high impact for further study, and is broadly applicable to complex human diseases.		20190527	https://pubmed.ncbi.nlm.nih.gov/31133750
?	Deep learning for genomics.	Nat Genet	2019	Nat Genet. 2019 Jan;51(1):1. doi: 10.1038/s41588-018-0328-0.	Application of deep learning to genomic datasets is an exciting area that is rapidly developing and is primed to revolutionize genome analysis. We embrace the potential that deep learning holds for understanding genome biology, and we encourage further advances in this area, extending to all aspects of genomics research.		?	https://pubmed.ncbi.nlm.nih.gov/30578416
Sundaram, Laksshman; Gao, Hong; Padigepati, Samskruthi Reddy; McRae, Jeremy F; Li, Yanjun; Kosmicki, Jack A; Fritzilas, Nondas; Hakenberg, Jorg; Dutta, Anindita; Shon, John; Xu, Jinbo; Batzoglou, Serafim; Li, Xiaolin; Farh, Kyle Kai-How	Author Correction: Predicting the clinical impact of human mutation with deep neural networks.	Nat Genet	2019	Nat Genet. 2019 Feb;51(2):364. doi: 10.1038/s41588-018-0329-z.	In the version of this article originally published, the name of author Serafim Batzoglou was misspelled. The error has been corrected in the HTML and PDF versions of the article.		?	https://pubmed.ncbi.nlm.nih.gov/30559491
Zou, James; Huss, Mikael; Abid, Abubakar; Mohammadi, Pejman; Torkamani, Ali; Telenti, Amalio	A primer on deep learning in genomics.	Nat Genet	2019	Nat Genet. 2019 Jan;51(1):12-18. doi: 10.1038/s41588-018-0295-5. Epub 2018 Nov 26.	Deep learning methods are a class of machine learning techniques capable of identifying highly complex patterns in large datasets. Here, we provide a perspective and primer on deep learning applications for genome analysis. We discuss successful applications in the fields of regulatory genomics, variant calling and pathogenicity scores. We include general guidance for how to effectively use deep learning methods as well as a practical guide to tools and resources. This primer is accompanied by an interactive online tutorial.		20181126	https://pubmed.ncbi.nlm.nih.gov/30478442
Ainscough, Benjamin J; Barnell, Erica K; Ronning, Peter; Campbell, Katie M; Wagner, Alex H; Fehniger, Todd A; Dunn, Gavin P; Uppaluri, Ravindra; Govindan, Ramaswamy; Rohan, Thomas E; Griffith, Malachi; Mardis, Elaine R; Swamidass, S Joshua; Griffith, Obi L	A deep learning approach to automate refinement of somatic variant calling from cancer sequencing data.	Nat Genet	2018	Nat Genet. 2018 Dec;50(12):1735-1743. doi: 10.1038/s41588-018-0257-y. Epub 2018 Nov 5.	Cancer genomic analysis requires accurate identification of somatic variants in sequencing data. Manual review to refine somatic variant calls is required as a final step after automated processing. However, manual variant refinement is time-consuming, costly, poorly standardized, and non-reproducible. Here, we systematized and standardized somatic variant refinement using a machine learning approach. The final model incorporates 41,000 variants from 440 sequencing cases. This model accurately recapitulated manual refinement labels for three independent testing sets (13,579 variants) and accurately predicted somatic variants confirmed by orthogonal validation sequencing data (212,158 variants). The model improves on manual somatic refinement by reducing bias on calls otherwise subject to high inter-reviewer variability.		20181105	https://pubmed.ncbi.nlm.nih.gov/30397337
Sundaram, Laksshman; Gao, Hong; Padigepati, Samskruthi Reddy; McRae, Jeremy F; Li, Yanjun; Kosmicki, Jack A; Fritzilas, Nondas; Hakenberg, Jorg; Dutta, Anindita; Shon, John; Xu, Jinbo; Batzoglou, Serafim; Li, Xiaolin; Farh, Kyle Kai-How	Predicting the clinical impact of human mutation with deep neural networks.	Nat Genet	2018	Nat Genet. 2018 Aug;50(8):1161-1170. doi: 10.1038/s41588-018-0167-z. Epub 2018 Jul 23.	Millions of human genomes and exomes have been sequenced, but their clinical applications remain limited due to the difficulty of distinguishing disease-causing mutations from benign genetic variation. Here we demonstrate that common missense variants in other primate species are largely clinically benign in human, enabling pathogenic mutations to be systematically identified by the process of elimination. Using hundreds of thousands of common variants from population sequencing of six non-human primate species, we train a deep neural network that identifies pathogenic mutations in rare disease patients with 88% accuracy and enables the discovery of 14 new candidate genes in intellectual disability at genome-wide significance. Cataloging common variation from additional primate species would improve interpretation for millions of variants of uncertain significance, further advancing the clinical utility of human genome sequencing.		20180723	https://pubmed.ncbi.nlm.nih.gov/30038395
Zhou, Jian; Theesfeld, Chandra L; Yao, Kevin; Chen, Kathleen M; Wong, Aaron K; Troyanskaya, Olga G	Deep learning sequence-based ab initio prediction of variant effects on expression and disease risk.	Nat Genet	2018	Nat Genet. 2018 Aug;50(8):1171-1179. doi: 10.1038/s41588-018-0160-6. Epub 2018 Jul 16.	Key challenges for human genetics, precision medicine and evolutionary biology include deciphering the regulatory code of gene expression and understanding the transcriptional effects of genome variation. However, this is extremely difficult because of the enormous scale of the noncoding mutation space. We developed a deep learning-based framework, ExPecto, that can accurately predict, ab initio from a DNA sequence, the tissue-specific transcriptional effects of mutations, including those that are rare or that have not been observed. We prioritized causal variants within disease- or trait-associated loci from all publicly available genome-wide association studies and experimentally validated predictions for four immune-related diseases. By exploiting the scalability of ExPecto, we characterized the regulatory mutation space for human RNA polymerase II-transcribed genes by in silico saturation mutagenesis and profiled > 140 million promoter-proximal mutations. This enables probing of evolutionary constraints on gene expression and ab initio prediction of mutation disease effects, making ExPecto an end-to-end computational framework for the in silico prediction of expression and disease risk.		20180716	https://pubmed.ncbi.nlm.nih.gov/30013180
