Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Pierson, Emma; Cutler, David M; Leskovec, Jure; Mullainathan, Sendhil; Obermeyer, Ziad	An algorithmic approach to reducing unexplained pain disparities in underserved populations.	Nat Med	2021	Nat Med. 2021 Jan;27(1):136-140. doi: 10.1038/s41591-020-01192-7. Epub 2021 Jan 13.	Underserved populations experience higher levels of pain. These disparities persist even after controlling for the objective severity of diseases like osteoarthritis, as graded by human physicians using medical images, raising the possibility that underserved patients' pain stems from factors external to the knee, such as stress. Here we use a deep learning approach to measure the severity of osteoarthritis, by using knee X-rays to predict patients' experienced pain. We show that this approach dramatically reduces unexplained racial disparities in pain. Relative to standard measures of severity graded by radiologists, which accounted for only 9% (95% confidence interval (CI), 3-16%) of racial disparities in pain, algorithmic predictions accounted for 43% of disparities, or 4.7x more (95% CI, 3.2-11.8x), with similar results for lower-income and less-educated patients. This suggests that much of underserved patients' pain stems from factors within the knee not reflected in standard radiographic measures of severity. We show that the algorithm's ability to reduce unexplained disparities is rooted in the racial and socioeconomic diversity of the training set. Because algorithmic severity measures better capture underserved patients' pain, and severity measures influence treatment decisions, algorithmic predictions could potentially redress disparities in access to treatments like arthroplasty.		20210113	https://pubmed.ncbi.nlm.nih.gov/33442014
Lotter, William; Diab, Abdul Rahman; Haslam, Bryan; Kim, Jiye G; Grisot, Giorgia; Wu, Eric; Wu, Kevin; Onieva, Jorge Onieva; Boyer, Yun; Boxerman, Jerrold L; Wang, Meiyun; Bandler, Mack; Vijayaraghavan, Gopal R; Gregory Sorensen, A	Robust breast cancer detection in mammography and digital breast tomosynthesis using an annotation-efficient deep learning approach.	Nat Med	2021	Nat Med. 2021 Feb;27(2):244-249. doi: 10.1038/s41591-020-01174-9. Epub 2021 Jan 11.	Breast cancer remains a global challenge, causing over 600,000 deaths in 2018 (ref. (1)). To achieve earlier cancer detection, health organizations worldwide recommend screening mammography, which is estimated to decrease breast cancer mortality by 20-40% (refs. (2,3)). Despite the clear value of screening mammography, significant false positive and false negative rates along with non-uniformities in expert reader availability leave opportunities for improving quality and access(4,5). To address these limitations, there has been much recent interest in applying deep learning to mammography(6-18), and these efforts have highlighted two key difficulties: obtaining large amounts of annotated training data and ensuring generalization across populations, acquisition equipment and modalities. Here we present an annotation-efficient deep learning approach that (1) achieves state-of-the-art performance in mammogram classification, (2) successfully extends to digital breast tomosynthesis (DBT; '3D mammography'), (3) detects cancers in clinically negative prior mammograms of patients with cancer, (4) generalizes well to a population with low screening rates and (5) outperforms five out of five full-time breast-imaging specialists with an average increase in sensitivity of 14%. By creating new 'maximum suspicion projection' (MSP) images from DBT data, our progressively trained, multiple-instance learning approach effectively trains on DBT exams using only breast-level labels while maintaining localization-based interpretability. Altogether, our results demonstrate promise towards software that can improve the accuracy of and access to screening mammography worldwide.		20210111	https://pubmed.ncbi.nlm.nih.gov/33432172
AbdulJabbar, Khalid; Raza, Shan E Ahmed; Rosenthal, Rachel; Jamal-Hanjani, Mariam; Veeriah, Selvaraju; Akarca, Ayse; Lund, Tom; Moore, David A; Salgado, Roberto; Al Bakir, Maise; Zapata, Luis; Hiley, Crispin T; Officer, Leah; Sereno, Marco; Smith, Claire Rachel; Loi, Sherene; Hackshaw, Allan; Marafioti, Teresa; Quezada, Sergio A; McGranahan, Nicholas; Le Quesne, John; Swanton, Charles; Yuan, Yinyin	Geospatial immune variability illuminates differential evolution of lung adenocarcinoma.	Nat Med	2020	Nat Med. 2020 Jul;26(7):1054-1062. doi: 10.1038/s41591-020-0900-x. Epub 2020 May 27.	Remarkable progress in molecular analyses has improved our understanding of the evolution of cancer cells toward immune escape(1-5). However, the spatial configurations of immune and stromal cells, which may shed light on the evolution of immune escape across tumor geographical locations, remain unaddressed. We integrated multiregion exome and RNA-sequencing (RNA-seq) data with spatial histology mapped by deep learning in 100 patients with non-small cell lung cancer from the TRACERx cohort(6). Cancer subclones derived from immune cold regions were more closely related in mutation space, diversifying more recently than subclones from immune hot regions. In TRACERx and in an independent multisample cohort of 970 patients with lung adenocarcinoma, tumors with more than one immune cold region had a higher risk of relapse, independently of tumor size, stage and number of samples per patient. In lung adenocarcinoma, but not lung squamous cell carcinoma, geometrical irregularity and complexity of the cancer-stromal cell interface significantly increased in tumor regions without disruption of antigen presentation. Decreased lymphocyte accumulation in adjacent stroma was observed in tumors with low clonal neoantigen burden. Collectively, immune geospatial variability elucidates tumor ecological constraints that may shape the emergence of immune-evading subclones and aggressive clinical phenotypes.		20200527	https://pubmed.ncbi.nlm.nih.gov/32461698
Liu, Yuan; Jain, Ayush; Eng, Clara; Way, David H; Lee, Kang; Bui, Peggy; Kanada, Kimberly; de Oliveira Marinho, Guilherme; Gallegos, Jessica; Gabriele, Sara; Gupta, Vishakha; Singh, Nalini; Natarajan, Vivek; Hofmann-Wellenhof, Rainer; Corrado, Greg S; Peng, Lily H; Webster, Dale R; Ai, Dennis; Huang, Susan J; Liu, Yun; Dunn, R Carter; Coz, David	A deep learning system for differential diagnosis of skin diseases.	Nat Med	2020	Nat Med. 2020 Jun;26(6):900-908. doi: 10.1038/s41591-020-0842-3. Epub 2020 May 18.	Skin conditions affect 1.9 billion people. Because of a shortage of dermatologists, most cases are seen instead by general practitioners with lower diagnostic accuracy. We present a deep learning system (DLS) to provide a differential diagnosis of skin conditions using 16,114 de-identified cases (photographs and clinical data) from a teledermatology practice serving 17 sites. The DLS distinguishes between 26 common skin conditions, representing 80% of cases seen in primary care, while also providing a secondary prediction covering 419 skin conditions. On 963 validation cases, where a rotating panel of three board-certified dermatologists defined the reference standard, the DLS was non-inferior to six other dermatologists and superior to six primary care physicians (PCPs) and six nurse practitioners (NPs) (top-1 accuracy: 0.66 DLS, 0.63 dermatologists, 0.44 PCPs and 0.40 NPs). These results highlight the potential of the DLS to assist general practitioners in diagnosing skin conditions.		20200518	https://pubmed.ncbi.nlm.nih.gov/32424212
Yim, Jason; Chopra, Reena; Spitz, Terry; Winkens, Jim; Obika, Annette; Kelly, Christopher; Askham, Harry; Lukic, Marko; Huemer, Josef; Fasler, Katrin; Moraes, Gabriella; Meyer, Clemens; Wilson, Marc; Dixon, Jonathan; Hughes, Cian; Rees, Geraint; Khaw, Peng T; Karthikesalingam, Alan; King, Dominic; Hassabis, Demis; Suleyman, Mustafa; Back, Trevor; Ledsam, Joseph R; Keane, Pearse A; De Fauw, Jeffrey	Predicting conversion to wet age-related macular degeneration using deep learning.	Nat Med	2020	Nat Med. 2020 Jun;26(6):892-899. doi: 10.1038/s41591-020-0867-7. Epub 2020 May 18.	Progression to exudative 'wet' age-related macular degeneration (exAMD) is a major cause of visual deterioration. In patients diagnosed with exAMD in one eye, we introduce an artificial intelligence (AI) system to predict progression to exAMD in the second eye. By combining models based on three-dimensional (3D) optical coherence tomography images and corresponding automatic tissue maps, our system predicts conversion to exAMD within a clinically actionable 6-month time window, achieving a per-volumetric-scan sensitivity of 80% at 55% specificity, and 34% sensitivity at 90% specificity. This level of performance corresponds to true positives in 78% and 41% of individual eyes, and false positives in 56% and 17% of individual eyes at the high sensitivity and high specificity points, respectively. Moreover, we show that automatic tissue segmentation can identify anatomical changes before conversion and high-risk subgroups. This AI system overcomes substantial interobserver variability in expert predictions, performing better than five out of six experts, and demonstrates the potential of using AI to predict disease progression.		20200518	https://pubmed.ncbi.nlm.nih.gov/32424211
Raghunath, Sushravya; Ulloa Cerna, Alvaro E; Jing, Linyuan; vanMaanen, David P; Stough, Joshua; Hartzel, Dustin N; Leader, Joseph B; Kirchner, H Lester; Stumpe, Martin C; Hafez, Ashraf; Nemani, Arun; Carbonati, Tanner; Johnson, Kipp W; Young, Katelyn; Good, Christopher W; Pfeifer, John M; Patel, Aalpen A; Delisle, Brian P; Alsaid, Amro; Beer, Dominik; Haggerty, Christopher M; Fornwalt, Brandon K	Prediction of mortality from 12-lead electrocardiogram voltage data using a deep neural network.	Nat Med	2020	Nat Med. 2020 Jun;26(6):886-891. doi: 10.1038/s41591-020-0870-z. Epub 2020 May 11.	The electrocardiogram (ECG) is a widely used medical test, consisting of voltage versus time traces collected from surface recordings over the heart(1). Here we hypothesized that a deep neural network (DNN) can predict an important future clinical event, 1-year all-cause mortality, from ECG voltage-time traces. By using ECGs collected over a 34-year period in a large regional health system, we trained a DNN with 1,169,662 12-lead resting ECGs obtained from 253,397 patients, in which 99,371 events occurred. The model achieved an area under the curve (AUC) of 0.88 on a held-out test set of 168,914 patients, in which 14,207 events occurred. Even within the large subset of patients (n = 45,285) with ECGs interpreted as 'normal' by a physician, the performance of the model in predicting 1-year mortality remained high (AUC = 0.85). A blinded survey of cardiologists demonstrated that many of the discriminating features of these normal ECGs were not apparent to expert reviewers. Finally, a Cox proportional-hazard model revealed a hazard ratio of 9.5 (P < 0.005) for the two predicted groups (dead versus alive 1 year after ECG) over a 25-year follow-up period. These results show that deep learning can add substantial prognostic information to the interpretation of 12-lead resting ECGs, even in cases that are interpreted as normal by physicians.		20200511	https://pubmed.ncbi.nlm.nih.gov/32393799
Han, Xintian; Hu, Yuxuan; Foschini, Luca; Chinitz, Larry; Jankelson, Lior; Ranganath, Rajesh	Deep learning models for electrocardiograms are susceptible to adversarial attack.	Nat Med	2020	Nat Med. 2020 Mar;26(3):360-363. doi: 10.1038/s41591-020-0791-x. Epub 2020 Mar 9.	Electrocardiogram (ECG) acquisition is increasingly widespread in medical and commercial devices, necessitating the development of automated interpretation strategies. Recently, deep neural networks have been used to automatically analyze ECG tracings and outperform physicians in detecting certain rhythm irregularities(1). However, deep learning classifiers are susceptible to adversarial examples, which are created from raw data to fool the classifier such that it assigns the example to the wrong class, but which are undetectable to the human eye(2,3). Adversarial examples have also been created for medical-related tasks(4,5). However, traditional attack methods to create adversarial examples do not extend directly to ECG signals, as such methods introduce square-wave artefacts that are not physiologically plausible. Here we develop a method to construct smoothed adversarial examples for ECG tracings that are invisible to human expert evaluation and show that a deep learning model for arrhythmia detection from single-lead ECG(6) is vulnerable to this type of attack. Moreover, we provide a general technique for collating and perturbing known adversarial examples to create multiple new ones. The susceptibility of deep learning ECG algorithms to adversarial misclassification implies that care should be taken when evaluating these models on ECGs that may have been altered, particularly when incentives for causing misclassification exist.		20200309	https://pubmed.ncbi.nlm.nih.gov/32152582
Morse, Keith E; Bagley, Steven C; Shah, Nigam H	Estimate the hidden deployment cost of predictive models to improve patient care.	Nat Med	2020	Nat Med. 2020 Jan;26(1):18-19. doi: 10.1038/s41591-019-0651-8.	?		?	https://pubmed.ncbi.nlm.nih.gov/31932778
Hollon, Todd C; Pandian, Balaji; Adapa, Arjun R; Urias, Esteban; Save, Akshay V; Khalsa, Siri Sahib S; Eichberg, Daniel G; D'Amico, Randy S; Farooq, Zia U; Lewis, Spencer; Petridis, Petros D; Marie, Tamara; Shah, Ashish H; Garton, Hugh J L; Maher, Cormac O; Heth, Jason A; McKean, Erin L; Sullivan, Stephen E; Hervey-Jumper, Shawn L; Patil, Parag G; Thompson, B Gregory; Sagher, Oren; McKhann, Guy M 2nd; Komotar, Ricardo J; Ivan, Michael E; Snuderl, Matija; Otten, Marc L; Johnson, Timothy D; Sisti, Michael B; Bruce, Jeffrey N; Muraszko, Karin M; Trautman, Jay; Freudiger, Christian W; Canoll, Peter; Lee, Honglak; Camelo-Piragua, Sandra; Orringer, Daniel A	Near real-time intraoperative brain tumor diagnosis using stimulated Raman histology and deep neural networks.	Nat Med	2020	Nat Med. 2020 Jan;26(1):52-58. doi: 10.1038/s41591-019-0715-9. Epub 2020 Jan 6.	Intraoperative diagnosis is essential for providing safe and effective care during cancer surgery(1). The existing workflow for intraoperative diagnosis based on hematoxylin and eosin staining of processed tissue is time, resource and labor intensive(2,3). Moreover, interpretation of intraoperative histologic images is dependent on a contracting, unevenly distributed, pathology workforce(4). In the present study, we report a parallel workflow that combines stimulated Raman histology (SRH)(5-7), a label-free optical imaging method and deep convolutional neural networks (CNNs) to predict diagnosis at the bedside in near real-time in an automated fashion. Specifically, our CNNs, trained on over 2.5 million SRH images, predict brain tumor diagnosis in the operating room in under 150 s, an order of magnitude faster than conventional techniques (for example, 20-30 min)(2). In a multicenter, prospective clinical trial (n = 278), we demonstrated that CNN-based diagnosis of SRH images was noninferior to pathologist-based interpretation of conventional histologic images (overall accuracy, 94.6% versus 93.9%). Our CNNs learned a hierarchy of recognizable histologic feature representations to classify the major histopathologic classes of brain tumors. In addition, we implemented a semantic segmentation method to identify tumor-infiltrated diagnostic regions within SRH images. These results demonstrate how intraoperative cancer diagnosis can be streamlined, creating a complementary pathway for tissue diagnosis that is independent of a traditional pathology laboratory.		20200106	https://pubmed.ncbi.nlm.nih.gov/31907460
Courtiol, Pierre; Maussion, Charles; Moarii, Matahi; Pronier, Elodie; Pilcer, Samuel; Sefta, Meriem; Manceron, Pierre; Toldo, Sylvain; Zaslavskiy, Mikhail; Le Stang, Nolwenn; Girard, Nicolas; Elemento, Olivier; Nicholson, Andrew G; Blay, Jean-Yves; Galateau-Salle, Francoise; Wainrib, Gilles; Clozel, Thomas	Deep learning-based classification of mesothelioma improves prediction of patient outcome.	Nat Med	2019	Nat Med. 2019 Oct;25(10):1519-1525. doi: 10.1038/s41591-019-0583-3. Epub 2019 Oct 7.	Malignant mesothelioma (MM) is an aggressive cancer primarily diagnosed on the basis of histological criteria(1). The 2015 World Health Organization classification subdivides mesothelioma tumors into three histological types: epithelioid, biphasic and sarcomatoid MM. MM is a highly complex and heterogeneous disease, rendering its diagnosis and histological typing difficult and leading to suboptimal patient care and decisions regarding treatment modalities(2). Here we have developed a new approach-based on deep convolutional neural networks-called MesoNet to accurately predict the overall survival of mesothelioma patients from whole-slide digitized images, without any pathologist-provided locally annotated regions. We validated MesoNet on both an internal validation cohort from the French MESOBANK and an independent cohort from The Cancer Genome Atlas (TCGA). We also demonstrated that the model was more accurate in predicting patient survival than using current pathology practices. Furthermore, unlike classical black-box deep learning methods, MesoNet identified regions contributing to patient outcome prediction. Strikingly, we found that these regions are mainly located in the stroma and are histological features associated with inflammation, cellular diversity and vacuolization. These findings suggest that deep learning models can identify new features predictive of patient survival and potentially lead to new biomarker discoveries.		20191007	https://pubmed.ncbi.nlm.nih.gov/31591589
