Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Zhu, Xiaowei; Zhou, Bo; Pattni, Reenal; Gleason, Kelly; Tan, Chunfeng; Kalinowski, Agnieszka; Sloan, Steven; Fiston-Lavier, Anna-Sophie; Mariani, Jessica; Petrov, Dmitri; Barres, Ben A; Duncan, Laramie; Abyzov, Alexej; Vogel, Hannes; Moran, John V; Vaccarino, Flora M; Tamminga, Carol A; Levinson, Douglas F; Urban, Alexander E	Machine learning reveals bilateral distribution of somatic L1 insertions in human neurons and glia.	Nat Neurosci	2021	Nat Neurosci. 2021 Feb;24(2):186-196. doi: 10.1038/s41593-020-00767-4. Epub 2021 Jan 11.	Retrotransposons can cause somatic genome variation in the human nervous system, which is hypothesized to have relevance to brain development and neuropsychiatric disease. However, the detection of individual somatic mobile element insertions presents a difficult signal-to-noise problem. Using a machine-learning method (RetroSom) and deep whole-genome sequencing, we analyzed L1 and Alu retrotransposition in sorted neurons and glia from human brains. We characterized two brain-specific L1 insertions in neurons and glia from a donor with schizophrenia. There was anatomical distribution of the L1 insertions in neurons and glia across both hemispheres, indicating retrotransposition occurred during early embryogenesis. Both insertions were within the introns of genes (CNNM2 and FRMD4A) inside genomic loci associated with neuropsychiatric disorders. Proof-of-principle experiments revealed these L1 insertions significantly reduced gene expression. These results demonstrate that RetroSom has broad applications for studies of brain development and may provide insight into the possible pathological effects of somatic retrotransposition.		20210111	https://pubmed.ncbi.nlm.nih.gov/33432196
Pereira, Talmo D; Shaevitz, Joshua W; Murthy, Mala	Quantifying behavior to understand the brain.	Nat Neurosci	2020	Nat Neurosci. 2020 Dec;23(12):1537-1549. doi: 10.1038/s41593-020-00734-z. Epub 2020 Nov 9.	Over the past years, numerous methods have emerged to automate the quantification of animal behavior at a resolution not previously imaginable. This has opened up a new field of computational ethology and will, in the near future, make it possible to quantify in near completeness what an animal is doing as it navigates its environment. The importance of improving the techniques with which we characterize behavior is reflected in the emerging recognition that understanding behavior is an essential (or even prerequisite) step to pursuing neuroscience questions. The use of these methods, however, is not limited to studying behavior in the wild or in strictly ethological settings. Modern tools for behavioral quantification can be applied to the full gamut of approaches that have historically been used to link brain to behavior, from psychophysics to cognitive tasks, augmenting those measurements with rich descriptions of how animals navigate those tasks. Here we review recent technical advances in quantifying behavior, particularly in methods for tracking animal motion and characterizing the structure of those dynamics. We discuss open challenges that remain for behavioral quantification and highlight promising future directions, with a strong emphasis on emerging approaches in deep learning, the core technology that has enabled the markedly rapid pace of progress of this field. We then discuss how quantitative descriptions of behavior can be leveraged to connect brain activity with animal movements, with the ultimate goal of resolving the relationship between neural circuits, cognitive processes and behavior.		20201109	https://pubmed.ncbi.nlm.nih.gov/33169033
Walker, Edgar Y; Sinz, Fabian H; Cobos, Erick; Muhammad, Taliah; Froudarakis, Emmanouil; Fahey, Paul G; Ecker, Alexander S; Reimer, Jacob; Pitkow, Xaq; Tolias, Andreas S	Inception loops discover what excites neurons most using deep predictive models.	Nat Neurosci	2019	Nat Neurosci. 2019 Dec;22(12):2060-2065. doi: 10.1038/s41593-019-0517-x. Epub 2019 Nov 4.	Finding sensory stimuli that drive neurons optimally is central to understanding information processing in the brain. However, optimizing sensory input is difficult due to the predominantly nonlinear nature of sensory processing and high dimensionality of the input. We developed 'inception loops', a closed-loop experimental paradigm combining in vivo recordings from thousands of neurons with in silico nonlinear response modeling. Our end-to-end trained, deep-learning-based model predicted thousands of neuronal responses to arbitrary, new natural input with high accuracy and was used to synthesize optimal stimuli-most exciting inputs (MEIs). For mouse primary visual cortex (V1), MEIs exhibited complex spatial features that occurred frequently in natural scenes but deviated strikingly from the common notion that Gabor-like stimuli are optimal for V1. When presented back to the same neurons in vivo, MEIs drove responses significantly better than control stimuli. Inception loops represent a widely applicable technique for dissecting the neural mechanisms of sensation.		20191104	https://pubmed.ncbi.nlm.nih.gov/31686023
Richards, Blake A; Lillicrap, Timothy P; Beaudoin, Philippe; Bengio, Yoshua; Bogacz, Rafal; Christensen, Amelia; Clopath, Claudia; Costa, Rui Ponte; de Berker, Archy; Ganguli, Surya; Gillon, Colleen J; Hafner, Danijar; Kepecs, Adam; Kriegeskorte, Nikolaus; Latham, Peter; Lindsay, Grace W; Miller, Kenneth D; Naud, Richard; Pack, Christopher C; Poirazi, Panayiota; Roelfsema, Pieter; Sacramento, Joao; Saxe, Andrew; Scellier, Benjamin; Schapiro, Anna C; Senn, Walter; Wayne, Greg; Yamins, Daniel; Zenke, Friedemann; Zylberberg, Joel; Therien, Denis; Kording, Konrad P	A deep learning framework for neuroscience.	Nat Neurosci	2019	Nat Neurosci. 2019 Nov;22(11):1761-1770. doi: 10.1038/s41593-019-0520-2. Epub 2019 Oct 28.	Systems neuroscience seeks explanations for how the brain implements a wide variety of perceptual, cognitive and motor tasks. Conversely, artificial intelligence attempts to design computational systems based on the tasks they will have to solve. In artificial neural networks, the three components specified by design are the objective functions, the learning rules and the architectures. With the growing success of deep learning, which utilizes brain-inspired architectures, these three designed components have increasingly become central to how we model, engineer and optimize complex artificial learning systems. Here we argue that a greater focus on these components would also benefit systems neuroscience. We give examples of how this optimization-based framework can drive theoretical and experimental progress in neuroscience. We contend that this principled perspective on systems neuroscience will help to generate more rapid progress.		20191028	https://pubmed.ncbi.nlm.nih.gov/31659335
Krabbe, Sabine; Paradiso, Enrica; d'Aquin, Simon; Bitterman, Yael; Courtin, Julien; Xu, Chun; Yonehara, Keisuke; Markovic, Milica; Muller, Christian; Eichlisberger, Tobias; Grundemann, Jan; Ferraguti, Francesco; Luthi, Andreas	Adaptive disinhibitory gating by VIP interneurons permits associative learning.	Nat Neurosci	2019	Nat Neurosci. 2019 Nov;22(11):1834-1843. doi: 10.1038/s41593-019-0508-y. Epub 2019 Oct 21.	Learning drives behavioral adaptations necessary for survival. While plasticity of excitatory projection neurons during associative learning has been extensively studied, little is known about the contributions of local interneurons. Using fear conditioning as a model for associative learning, we found that behaviorally relevant, salient stimuli cause learning by tapping into a local microcircuit consisting of precisely connected subtypes of inhibitory interneurons. By employing deep-brain calcium imaging and optogenetics, we demonstrate that vasoactive intestinal peptide (VIP)-expressing interneurons in the basolateral amygdala are activated by aversive events and provide a mandatory disinhibitory signal for associative learning. Notably, VIP interneuron responses during learning are strongly modulated by expectations. Our findings indicate that VIP interneurons are a central component of a dynamic circuit motif that mediates adaptive disinhibitory gating to specifically learn about unexpected, salient events, thereby ensuring appropriate behavioral adaptations.		20191021	https://pubmed.ncbi.nlm.nih.gov/31636447
Moore, Jordan M; Woolley, Sarah M N	Emergent tuning for learned vocalizations in auditory cortex.	Nat Neurosci	2019	Nat Neurosci. 2019 Sep;22(9):1469-1476. doi: 10.1038/s41593-019-0458-4. Epub 2019 Aug 12.	Vocal learners use early social experience to develop auditory skills specialized for communication. However, it is unknown where in the auditory pathway neural responses become selective for vocalizations or how the underlying encoding mechanisms change with experience. We used a vocal tutoring manipulation in two species of songbird to reveal that tuning for conspecific song arises within the primary auditory cortical circuit. Neurons in the deep region of primary auditory cortex responded more to conspecific songs than to other species' songs and more to species-typical spectrotemporal modulations, but neurons in the intermediate (thalamorecipient) region did not. Moreover, birds that learned song from another species exhibited parallel shifts in selectivity and tuning toward the tutor species' songs in the deep but not the intermediate region. Our results locate a region in the auditory processing hierarchy where an experience-dependent coding mechanism aligns auditory responses with the output of a learned vocal motor behavior.		20190812	https://pubmed.ncbi.nlm.nih.gov/31406364
Mathis, Alexander; Mamidanna, Pranav; Cury, Kevin M; Abe, Taiga; Murthy, Venkatesh N; Mathis, Mackenzie Weygandt; Bethge, Matthias	DeepLabCut: markerless pose estimation of user-defined body parts with deep learning.	Nat Neurosci	2018	Nat Neurosci. 2018 Sep;21(9):1281-1289. doi: 10.1038/s41593-018-0209-y. Epub 2018 Aug 20.	Quantifying behavior is crucial for many applications in neuroscience. Videography provides easy methods for the observation and recording of animal behavior in diverse settings, yet extracting particular aspects of a behavior for further analysis can be highly time consuming. In motor control studies, humans or other animals are often marked with reflective markers to assist with computer-based tracking, but markers are intrusive, and the number and location of the markers must be determined a priori. Here we present an efficient method for markerless pose estimation based on transfer learning with deep neural networks that achieves excellent results with minimal training data. We demonstrate the versatility of this framework by tracking various body parts in multiple species across a broad collection of behaviors. Remarkably, even when only a small number of frames are labeled (~200), the algorithm achieves excellent tracking performance on test frames that is comparable to human accuracy.		20180820	https://pubmed.ncbi.nlm.nih.gov/30127430
Wei, Kunlin; Kording, Konrad Paul	Behavioral tracking gets real.	Nat Neurosci	2018	Nat Neurosci. 2018 Sep;21(9):1146-1147. doi: 10.1038/s41593-018-0215-0.	?		?	https://pubmed.ncbi.nlm.nih.gov/30127429
Yamins, Daniel L K; DiCarlo, James J	Using goal-driven deep learning models to understand sensory cortex.	Nat Neurosci	2016	Nat Neurosci. 2016 Mar;19(3):356-65. doi: 10.1038/nn.4244.	Fueled by innovation in the computer vision and artificial intelligence communities, recent developments in computational neuroscience have used goal-driven hierarchical convolutional neural networks (HCNNs) to make strides in modeling neural single-unit and population responses in higher visual cortical areas. In this Perspective, we review the recent progress in a broader modeling context and describe some of the key technical innovations that have supported it. We then outline how the goal-driven HCNN approach can be used to delve even more deeply into understanding the development and organization of sensory cortical processing.		?	https://pubmed.ncbi.nlm.nih.gov/26906502
Chuong, Amy S; Miri, Mitra L; Busskamp, Volker; Matthews, Gillian A C; Acker, Leah C; Sorensen, Andreas T; Young, Andrew; Klapoetke, Nathan C; Henninger, Mike A; Kodandaramaiah, Suhasa B; Ogawa, Masaaki; Ramanlal, Shreshtha B; Bandler, Rachel C; Allen, Brian D; Forest, Craig R; Chow, Brian Y; Han, Xue; Lin, Yingxi; Tye, Kay M; Roska, Botond; Cardin, Jessica A; Boyden, Edward S	Noninvasive optical inhibition with a red-shifted microbial rhodopsin.	Nat Neurosci	2014	Nat Neurosci. 2014 Aug;17(8):1123-9. doi: 10.1038/nn.3752. Epub 2014 Jul 6.	Optogenetic inhibition of the electrical activity of neurons enables the causal assessment of their contributions to brain functions. Red light penetrates deeper into tissue than other visible wavelengths. We present a red-shifted cruxhalorhodopsin, Jaws, derived from Haloarcula (Halobacterium) salinarum (strain Shark) and engineered to result in red light-induced photocurrents three times those of earlier silencers. Jaws exhibits robust inhibition of sensory-evoked neural activity in the cortex and results in strong light responses when used in retinas of retinitis pigmentosa model mice. We also demonstrate that Jaws can noninvasively mediate transcranial optical inhibition of neurons deep in the brains of awake mice. The noninvasive optogenetic inhibition opened up by Jaws enables a variety of important neuroscience experiments and offers a powerful general-use chloride pump for basic and applied neuroscience.		20140706	https://pubmed.ncbi.nlm.nih.gov/24997763
