Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Zenke, Friedemann; Bohte, Sander M; Clopath, Claudia; Comsa, Iulia M; Goltz, Julian; Maass, Wolfgang; Masquelier, Timothee; Naud, Richard; Neftci, Emre O; Petrovici, Mihai A; Scherr, Franz; Goodman, Dan F M	Visualizing a joint future of neuroscience and neuromorphic engineering.	Neuron	2021	Neuron. 2021 Feb 17;109(4):571-575. doi: 10.1016/j.neuron.2021.01.009.	Recent research resolves the challenging problem of building biophysically plausible spiking neural models that are also capable of complex information processing. This advance creates new opportunities in neuroscience and neuromorphic engineering, which we discussed at an online focus meeting.		?	https://pubmed.ncbi.nlm.nih.gov/33600754
Koster, Raphael; Chadwick, Martin J	What can classic Atari video games tell us about the human brain?	Neuron	2021	Neuron. 2021 Feb 17;109(4):568-570. doi: 10.1016/j.neuron.2021.01.021.	In this issue of Neuron, Cross et. al (2021) use a deep reinforcement learning algorithm to understand human neural activation evoked by playing different video games. The results shed light on the neural principles underlying reward-guided decisions in naturalistic domains.		?	https://pubmed.ncbi.nlm.nih.gov/33600753
Marshall, Jesse D; Aldarondo, Diego E; Dunn, Timothy W; Wang, William L; Berman, Gordon J; Olveczky, Bence P	Continuous Whole-Body 3D Kinematic Recordings across the Rodent Behavioral Repertoire.	Neuron	2021	Neuron. 2021 Feb 3;109(3):420-437.e8. doi: 10.1016/j.neuron.2020.11.016. Epub 2020 Dec 18.	In mammalian animal models, high-resolution kinematic tracking is restricted to brief sessions in constrained environments, limiting our ability to probe naturalistic behaviors and their neural underpinnings. To address this, we developed CAPTURE (Continuous Appendicular and Postural Tracking Using Retroreflector Embedding), a behavioral monitoring system that combines motion capture and deep learning to continuously track the 3D kinematics of a rat's head, trunk, and limbs for week-long timescales in freely behaving animals. CAPTURE realizes 10- to 100-fold gains in precision and robustness compared with existing convolutional network approaches to behavioral tracking. We demonstrate CAPTURE's ability to comprehensively profile the kinematics and sequential organization of natural rodent behavior, its variation across individuals, and its perturbation by drugs and disease, including identifying perseverative grooming states in a rat model of fragile X syndrome. CAPTURE significantly expands the range of behaviors and contexts that can be quantitatively investigated, opening the door to a new understanding of natural behavior and its neural basis.	animal tracking; autism; behavior; computational ethology; grooming; individuality; motion capture; phenotyping	20201218	https://pubmed.ncbi.nlm.nih.gov/33340448
Cross, Logan; Cockburn, Jeff; Yue, Yisong; O'Doherty, John P	Using deep reinforcement learning to reveal how the brain encodes abstract state-space representations in high-dimensional environments.	Neuron	2021	Neuron. 2021 Feb 17;109(4):724-738.e7. doi: 10.1016/j.neuron.2020.11.021. Epub 2020 Dec 15.	Humans possess an exceptional aptitude to efficiently make decisions from high-dimensional sensory observations. However, it is unknown how the brain compactly represents the current state of the environment to guide this process. The deep Q-network (DQN) achieves this by capturing highly nonlinear mappings from multivariate inputs to the values of potential actions. We deployed DQN as a model of brain activity and behavior in participants playing three Atari video games during fMRI. Hidden layers of DQN exhibited a striking resemblance to voxel activity in a distributed sensorimotor network, extending throughout the dorsal visual pathway into posterior parietal cortex. Neural state-space representations emerged from nonlinear transformations of the pixel space bridging perception to action and reward. These transformations reshape axes to reflect relevant high-level features and strip away information about task-irrelevant sensory features. Our findings shed light on the neural encoding of task representations for decision-making in real-world situations.	computational neuroscience; decision-making; deep reinforcement learning; fMRI; naturalistic task	20201215	https://pubmed.ncbi.nlm.nih.gov/33326755
Sharif, Farnaz; Tayebi, Behnam; Buzsaki, Gyorgy; Royer, Sebastien; Fernandez-Ruiz, Antonio	Subcircuits of Deep and Superficial CA1 Place Cells Support Efficient Spatial Coding across Heterogeneous Environments.	Neuron	2021	Neuron. 2021 Jan 20;109(2):363-376.e6. doi: 10.1016/j.neuron.2020.10.034. Epub 2020 Nov 19.	The hippocampus is thought to guide navigation by forming a cognitive map of space. Different environments differ in geometry and the availability of cues that can be used for navigation. Although several spatial coding mechanisms are known to coexist in the hippocampus, how they are influenced by various environmental features is not well understood. To address this issue, we examined the spatial coding characteristics of hippocampal neurons in mice and rats navigating in different environments. We found that CA1 place cells located in the superficial sublayer were more active in cue-poor environments and preferentially used a firing rate code driven by intra-hippocampal inputs. In contrast, place cells located in the deep sublayer were more active in cue-rich environments and used a phase code driven by entorhinal inputs. Switching between these two spatial coding modes was supported by the interaction between excitatory gamma inputs and local inhibition.	CA1 sublayers; gamma oscillations; hippocampus; phase code; phase precession; place cells; rate code; spatial navigation; theta rhythm; theta sequences	20201119	https://pubmed.ncbi.nlm.nih.gov/33217328
Mathis, Alexander; Schneider, Steffen; Lauer, Jessy; Mathis, Mackenzie Weygandt	A Primer on Motion Capture with Deep Learning: Principles, Pitfalls, and Perspectives.	Neuron	2020	Neuron. 2020 Oct 14;108(1):44-65. doi: 10.1016/j.neuron.2020.09.017.	Extracting behavioral measurements non-invasively from video is stymied by the fact that it is a hard computational problem. Recent advances in deep learning have tremendously advanced our ability to predict posture directly from videos, which has quickly impacted neuroscience and biology more broadly. In this primer, we review the budding field of motion capture with deep learning. In particular, we will discuss the principles of those novel algorithms, highlight their potential as well as pitfalls for experimentalists, and provide a glimpse into the future.		?	https://pubmed.ncbi.nlm.nih.gov/33058765
Babayan, Benedicte M; Sarnaik, Rashmi; Zirlinger, Mariela	Spotlight on Neurotechnology: Reading Networks.	Neuron	2020	Neuron. 2020 Oct 14;108(1):1. doi: 10.1016/j.neuron.2020.09.040.	?		?	https://pubmed.ncbi.nlm.nih.gov/33058761
Botvinick, Matthew; Wang, Jane X; Dabney, Will; Miller, Kevin J; Kurth-Nelson, Zeb	Deep Reinforcement Learning and Its Neuroscientific Implications.	Neuron	2020	Neuron. 2020 Aug 19;107(4):603-616. doi: 10.1016/j.neuron.2020.06.014. Epub 2020 Jul 13.	The emergence of powerful artificial intelligence (AI) is defining new research directions in neuroscience. To date, this research has focused largely on deep neural networks trained using supervised learning in tasks such as image classification. However, there is another area of recent AI work that has so far received less attention from neuroscientists but that may have profound neuroscientific implications: deep reinforcement learning (RL). Deep RL offers a comprehensive framework for studying the interplay among learning, representation, and decision making, offering to the brain sciences a new set of research tools and a wide range of novel hypotheses. In the present review, we provide a high-level introduction to deep RL, discuss some of its initial applications to neuroscience, and survey its wider implications for research on brain and behavior, concluding with a list of opportunities for next-stage research.		20200713	https://pubmed.ncbi.nlm.nih.gov/32663439
Gong, Xin; Mendoza-Halliday, Diego; Ting, Jonathan T; Kaiser, Tobias; Sun, Xuyun; Bastos, Andre M; Wimmer, Ralf D; Guo, Baolin; Chen, Qian; Zhou, Yang; Pruner, Maxwell; Wu, Carolyn W-H; Park, Demian; Deisseroth, Karl; Barak, Boaz; Boyden, Edward S; Miller, Earl K; Halassa, Michael M; Fu, Zhanyan; Bi, Guoqiang; Desimone, Robert; Feng, Guoping	An Ultra-Sensitive Step-Function Opsin for Minimally Invasive Optogenetic Stimulation in Mice and Macaques.	Neuron	2020	Neuron. 2020 Jul 8;107(1):38-51.e8. doi: 10.1016/j.neuron.2020.03.032. Epub 2020 Apr 29.	Optogenetics is among the most widely employed techniques to manipulate neuronal activity. However, a major drawback is the need for invasive implantation of optical fibers. To develop a minimally invasive optogenetic method that overcomes this challenge, we engineered a new step-function opsin with ultra-high light sensitivity (SOUL). We show that SOUL can activate neurons located in deep mouse brain regions via transcranial optical stimulation and elicit behavioral changes in SOUL knock-in mice. Moreover, SOUL can be used to modulate neuronal spiking and induce oscillations reversibly in macaque cortex via optical stimulation from outside the dura. By enabling external light delivery, our new opsin offers a minimally invasive tool for manipulating neuronal activity in rodent and primate models with fewer limitations on the depth and size of target brain regions and may further facilitate the development of minimally invasive optogenetic tools for the treatment of neurological disorders.		20200429	https://pubmed.ncbi.nlm.nih.gov/32353253
Cadwell, Cathryn R; Bhaduri, Aparna; Mostajo-Radji, Mohammed A; Keefe, Matthew G; Nowakowski, Tomasz J	Development and Arealization of the Cerebral Cortex.	Neuron	2019	Neuron. 2019 Sep 25;103(6):980-1004. doi: 10.1016/j.neuron.2019.07.009.	Adult cortical areas consist of specialized cell types and circuits that support unique higher-order cognitive functions. How this regional diversity develops from an initially uniform neuroepithelium has been the subject of decades of seminal research, and emerging technologies, including single-cell transcriptomics, provide a new perspective on area-specific molecular diversity. Here, we review the early developmental processes that underlie cortical arealization, including both cortex intrinsic and extrinsic mechanisms as embodied by the protomap and protocortex hypotheses, respectively. We propose an integrated model of serial homology whereby intrinsic genetic programs and local factors establish early transcriptomic differences between excitatory neurons destined to give rise to broad "proto-regions," and activity-dependent mechanisms lead to progressive refinement and formation of sharp boundaries between functional areas. Finally, we explore the potential of these basic developmental processes to inform our understanding of the emergence of functional neural networks and circuit abnormalities in neurodevelopmental disorders.	autism; brain development; cerebral cortex; human brain; machine learning; neural networks; neurogenesis; protocortex; protomap; serial homology	?	https://pubmed.ncbi.nlm.nih.gov/31557462
Sinz, Fabian H; Pitkow, Xaq; Reimer, Jacob; Bethge, Matthias; Tolias, Andreas S	Engineering a Less Artificial Intelligence.	Neuron	2019	Neuron. 2019 Sep 25;103(6):967-979. doi: 10.1016/j.neuron.2019.08.034.	Despite enormous progress in machine learning, artificial neural networks still lag behind brains in their ability to generalize to new situations. Given identical training data, differences in generalization are caused by many defining features of a learning algorithm, such as network architecture and learning rule. Their joint effect, called "inductive bias," determines how well any learning algorithm-or brain-generalizes: robust generalization needs good inductive biases. Artificial networks use rather nonspecific biases and often latch onto patterns that are only informative about the statistics of the training data but may not generalize to different scenarios. Brains, on the other hand, generalize across comparatively drastic changes in the sensory input all the time. We highlight some shortcomings of state-of-the-art learning algorithms compared to biological brains and discuss several ideas about how neuroscience can guide the quest for better inductive biases by providing useful constraints on representations and network architecture.	artificial intelligence; generalization; inductive bias; machine learning; neuroscience; robustness; sensory systems	?	https://pubmed.ncbi.nlm.nih.gov/31557461
Norrie, Jackie L; Lupo, Marybeth S; Xu, Beisi; Al Diri, Issam; Valentine, Marc; Putnam, Daniel; Griffiths, Lyra; Zhang, Jiakun; Johnson, Dianna; Easton, John; Shao, Ying; Honnell, Victoria; Frase, Sharon; Miller, Shondra; Stewart, Valerie; Zhou, Xin; Chen, Xiang; Dyer, Michael A	Nucleome Dynamics during Retinal Development.	Neuron	2019	Neuron. 2019 Nov 6;104(3):512-528.e11. doi: 10.1016/j.neuron.2019.08.002. Epub 2019 Sep 4.	More than 8,000 genes are turned on or off as progenitor cells produce the 7 classes of retinal cell types during development. Thousands of enhancers are also active in the developing retinae, many having features of cell- and developmental stage-specific activity. We studied dynamic changes in the 3D chromatin landscape important for precisely orchestrated changes in gene expression during retinal development by ultra-deep in situ Hi-C analysis on murine retinae. We identified developmental-stage-specific changes in chromatin compartments and enhancer-promoter interactions. We developed a machine learning-based algorithm to map euchromatin and heterochromatin domains genome-wide and overlaid it with chromatin compartments identified by Hi-C. Single-cell ATAC-seq and RNA-seq were integrated with our Hi-C and previous ChIP-seq data to identify cell- and developmental-stage-specific super-enhancers (SEs). We identified a bipolar neuron-specific core regulatory circuit SE upstream of Vsx2, whose deletion in mice led to the loss of bipolar neurons.	Hi-C; Vsx2; bipolar neuron; core regulatory circuit; euchromatin; heterochromatin; machine learning; nucleome; retina; super-enhancer	20190904	https://pubmed.ncbi.nlm.nih.gov/31493975
Batista-Brito, Renata; Fishell, Gord	Interneurons: Learning on the Job.	Neuron	2019	Neuron. 2019 Jun 5;102(5):905-907. doi: 10.1016/j.neuron.2019.05.016.	In this issue, Wester et al. (2019) examine the obligate relationship between cortical interneurons and pyramidal neurons. By genetically converting superficial IT pyramidal cells into PT-like deep-layer pyramidal cells, they alter the position, connectivity, and gene expression within CGE-derived interneurons.		?	https://pubmed.ncbi.nlm.nih.gov/31170396
Miller, Earl K; Lundqvist, Mikael; Bastos, Andre M	Working Memory 2.0.	Neuron	2018	Neuron. 2018 Oct 24;100(2):463-475. doi: 10.1016/j.neuron.2018.09.023.	Working memory is the fundamental function by which we break free from reflexive input-output reactions to gain control over our own thoughts. It has two types of mechanisms: online maintenance of information and its volitional or executive control. Classic models proposed persistent spiking for maintenance but have not explicitly addressed executive control. We review recent theoretical and empirical studies that suggest updates and additions to the classic model. Synaptic weight changes between sparse bursts of spiking strengthen working memory maintenance. Executive control acts via interplay between network oscillations in gamma (30-100 Hz) in superficial cortical layers (layers 2 and 3) and alpha and beta (10-30 Hz) in deep cortical layers (layers 5 and 6). Deep-layer alpha and beta are associated with top-down information and inhibition. It regulates the flow of bottom-up sensory information associated with superficial layer gamma. We propose that interactions between different rhythms in distinct cortical layers underlie working memory maintenance and its volitional control.	bottom-up; cognition; cortex; oscillations; prefrontal cortex; synchrony; top-down; working memory	?	https://pubmed.ncbi.nlm.nih.gov/30359609
Tanaka, Yasuyo H; Tanaka, Yasuhiro R; Kondo, Masashi; Terada, Shin-Ichiro; Kawaguchi, Yasuo; Matsuzaki, Masanori	Thalamocortical Axonal Activity in Motor Cortex Exhibits Layer-Specific Dynamics during Motor Learning.	Neuron	2018	Neuron. 2018 Oct 10;100(1):244-258.e12. doi: 10.1016/j.neuron.2018.08.016. Epub 2018 Aug 30.	The thalamus is the hub through which neural signals are transmitted from the basal ganglia and cerebellum to the neocortex. However, thalamocortical axonal activity during motor learning remains largely undescribed. We conducted two-photon calcium imaging of thalamocortical axonal activity in the motor cortex of mice learning a self-initiated lever-pull task. Layer 1 (L1) axons came to exhibit activity at lever-pull initiation and termination, while layer 3 (L3) axons did so at lever-pull initiation. L1 population activity had a sequence structure related to both lever-pull duration and reproducibility. Stimulation of the substantia nigra pars reticulata activated more L1 than L3 axons, whereas deep cerebellar nuclei (DCN) stimulation did the opposite. Lesions to either the dorsal striatum or the DCN impaired motor learning and disrupted temporal dynamics in both layers. Thus, layer-specific thalamocortical signals evolve with the progression of learning, which requires both the basal ganglia and cerebellar activities.	basal ganglia; cerebellum; motor cortex; motor learning; thalamocortical axon; thalamus; two-photon calcium imaging	20180830	https://pubmed.ncbi.nlm.nih.gov/30174116
Kell, Alexander J E; Yamins, Daniel L K; Shook, Erica N; Norman-Haignere, Sam V; McDermott, Josh H	A Task-Optimized Neural Network Replicates Human Auditory Behavior, Predicts Brain Responses, and Reveals a Cortical Processing Hierarchy.	Neuron	2018	Neuron. 2018 May 2;98(3):630-644.e16. doi: 10.1016/j.neuron.2018.03.044. Epub 2018 Apr 19.	A core goal of auditory neuroscience is to build quantitative models that predict cortical responses to natural sounds. Reasoning that a complete model of auditory cortex must solve ecologically relevant tasks, we optimized hierarchical neural networks for speech and music recognition. The best-performing network contained separate music and speech pathways following early shared processing, potentially replicating human cortical organization. The network performed both tasks as well as humans and exhibited human-like errors despite not being optimized to do so, suggesting common constraints on network and human performance. The network predicted fMRI voxel responses substantially better than traditional spectrotemporal filter models throughout auditory cortex. It also provided a quantitative signature of cortical representational hierarchy-primary and non-primary responses were best predicted by intermediate and late network layers, respectively. The results suggest that task optimization provides a powerful set of tools for modeling sensory systems.	auditory cortex; convolutional neural network; deep learning; deep neural network; encoding models; fMRI; hierarchy; human auditory cortex; natural sounds; word recognition	20180419	https://pubmed.ncbi.nlm.nih.gov/29681533
