Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Norn, Christoffer; Wicky, Basile I M; Juergens, David; Liu, Sirui; Kim, David; Tischer, Doug; Koepnick, Brian; Anishchenko, Ivan; Baker, David; Ovchinnikov, Sergey	Protein sequence design by conformational landscape optimization.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Mar 16;118(11). pii: 2017228118. doi: 10.1073/pnas.2017228118.	The protein design problem is to identify an amino acid sequence that folds to a desired structure. Given Anfinsen's thermodynamic hypothesis of folding, this can be recast as finding an amino acid sequence for which the desired structure is the lowest energy state. As this calculation involves not only all possible amino acid sequences but also, all possible structures, most current approaches focus instead on the more tractable problem of finding the lowest-energy amino acid sequence for the desired structure, often checking by protein structure prediction in a second step that the desired structure is indeed the lowest-energy conformation for the designed sequence, and typically discarding a large fraction of designed sequences for which this is not the case. Here, we show that by backpropagating gradients through the transform-restrained Rosetta (trRosetta) structure prediction network from the desired structure to the input amino acid sequence, we can directly optimize over all possible amino acid sequences and all possible structures in a single calculation. We find that trRosetta calculations, which consider the full conformational landscape, can be more effective than Rosetta single-point energy estimations in predicting folding and stability of de novo designed proteins. We compare sequence design by conformational landscape optimization with the standard energy-based sequence design methodology in Rosetta and show that the former can result in energy landscapes with fewer alternative energy minima. We show further that more funneled energy landscapes can be designed by combining the strengths of the two approaches: the low-resolution trRosetta model serves to disfavor alternative states, and the high-resolution Rosetta model serves to create a deep energy minimum at the design target structure.	energy landscape; machine learning; protein design; sequence optimization; stability prediction	?	https://pubmed.ncbi.nlm.nih.gov/33712545
Jamali, Vida; Hargus, Cory; Ben-Moshe, Assaf; Aghazadeh, Amirali; Ha, Hyun Dong; Mandadapu, Kranthi K; Alivisatos, A Paul	Anomalous nanoparticle surface diffusion in LCTEM is revealed by deep learning-assisted analysis.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Mar 9;118(10). pii: 2017616118. doi: 10.1073/pnas.2017616118.	The motion of nanoparticles near surfaces is of fundamental importance in physics, biology, and chemistry. Liquid cell transmission electron microscopy (LCTEM) is a promising technique for studying motion of nanoparticles with high spatial resolution. Yet, the lack of understanding of how the electron beam of the microscope affects the particle motion has held back advancement in using LCTEM for in situ single nanoparticle and macromolecule tracking at interfaces. Here, we experimentally studied the motion of a model system of gold nanoparticles dispersed in water and moving adjacent to the silicon nitride membrane of a commercial LC in a broad range of electron beam dose rates. We find that the nanoparticles exhibit anomalous diffusive behavior modulated by the electron beam dose rate. We characterized the anomalous diffusion of nanoparticles in LCTEM using a convolutional deep neural-network model and canonical statistical tests. The results demonstrate that the nanoparticle motion is governed by fractional Brownian motion at low dose rates, resembling diffusion in a viscoelastic medium, and continuous-time random walk at high dose rates, resembling diffusion on an energy landscape with pinning sites. Both behaviors can be explained by the presence of silanol molecular species on the surface of the silicon nitride membrane and the ionic species in solution formed by radiolysis of water in presence of the electron beam.	anomalous diffusion; deep neural network; liquid cell electron microscopy; single-particle tracking	?	https://pubmed.ncbi.nlm.nih.gov/33658362
Colen, Jonathan; Han, Ming; Zhang, Rui; Redford, Steven A; Lemma, Linnea M; Morgan, Link; Ruijgrok, Paul V; Adkins, Raymond; Bryant, Zev; Dogic, Zvonimir; Gardel, Margaret L; de Pablo, Juan J; Vitelli, Vincenzo	Machine learning active-nematic hydrodynamics.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Mar 9;118(10). pii: 2016708118. doi: 10.1073/pnas.2016708118.	Hydrodynamic theories effectively describe many-body systems out of equilibrium in terms of a few macroscopic parameters. However, such parameters are difficult to determine from microscopic information. Seldom is this challenge more apparent than in active matter, where the hydrodynamic parameters are in fact fields that encode the distribution of energy-injecting microscopic components. Here, we use active nematics to demonstrate that neural networks can map out the spatiotemporal variation of multiple hydrodynamic parameters and forecast the chaotic dynamics of these systems. We analyze biofilament/molecular-motor experiments with microtubule/kinesin and actin/myosin complexes as computer vision problems. Our algorithms can determine how activity and elastic moduli change as a function of space and time, as well as adenosine triphosphate (ATP) or motor concentration. The only input needed is the orientation of the biofilaments and not the coupled velocity field which is harder to access in experiments. We can also forecast the evolution of these chaotic many-body systems solely from image sequences of their past using a combination of autoencoders and recurrent neural networks with residual architecture. In realistic experimental setups for which the initial conditions are not perfectly known, our physics-inspired machine-learning algorithms can surpass deterministic simulations. Our study paves the way for artificial-intelligence characterization and control of coupled chaotic fields in diverse physical and biological systems, even in the absence of knowledge of the underlying dynamics.	active turbulence; biomaterials; deep learning; liquid crystals; topological defects	?	https://pubmed.ncbi.nlm.nih.gov/33653956
Feng, Yu; Tu, Yuhai	The inverse variance-flatness relation in stochastic gradient descent is critical for finding flat minima.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Mar 2;118(9). pii: 2015617118. doi: 10.1073/pnas.2015617118.	Despite tremendous success of the stochastic gradient descent (SGD) algorithm in deep learning, little is known about how SGD finds generalizable solutions at flat minima of the loss function in high-dimensional weight space. Here, we investigate the connection between SGD learning dynamics and the loss function landscape. A principal component analysis (PCA) shows that SGD dynamics follow a low-dimensional drift-diffusion motion in the weight space. Around a solution found by SGD, the loss function landscape can be characterized by its flatness in each PCA direction. Remarkably, our study reveals a robust inverse relation between the weight variance and the landscape flatness in all PCA directions, which is the opposite to the fluctuation-response relation (aka Einstein relation) in equilibrium statistical physics. To understand the inverse variance-flatness relation, we develop a phenomenological theory of SGD based on statistical properties of the ensemble of minibatch loss functions. We find that both the anisotropic SGD noise strength (temperature) and its correlation time depend inversely on the landscape flatness in each PCA direction. Our results suggest that SGD serves as a landscape-dependent annealing algorithm. The effective temperature decreases with the landscape flatness so the system seeks out (prefers) flat minima over sharp ones. Based on these insights, an algorithm with landscape-dependent constraints is developed to mitigate catastrophic forgetting efficiently when learning multiple tasks sequentially. In general, our work provides a theoretical framework to understand learning dynamics, which may eventually lead to better algorithms for different learning tasks.	generalization; loss landscape; machine learning; statistical physics; stochastic gradient descent	?	https://pubmed.ncbi.nlm.nih.gov/33619091
Mehrer, Johannes; Spoerer, Courtney J; Jones, Emer C; Kriegeskorte, Nikolaus; Kietzmann, Tim C	An ecologically motivated image dataset for deep learning yields better models of human vision.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Feb 23;118(8). pii: 2011417118. doi: 10.1073/pnas.2011417118.	Deep neural networks provide the current best models of visual information processing in the primate brain. Drawing on work from computer vision, the most commonly used networks are pretrained on data from the ImageNet Large Scale Visual Recognition Challenge. This dataset comprises images from 1,000 categories, selected to provide a challenging testbed for automated visual object recognition systems. Moving beyond this common practice, we here introduce ecoset, a collection of >1.5 million images from 565 basic-level categories selected to better capture the distribution of objects relevant to humans. Ecoset categories were chosen to be both frequent in linguistic usage and concrete, thereby mirroring important physical objects in the world. We test the effects of training on this ecologically more valid dataset using multiple instances of two neural network architectures: AlexNet and vNet, a novel architecture designed to mimic the progressive increase in receptive field sizes along the human ventral stream. We show that training on ecoset leads to significant improvements in predicting representations in human higher-level visual cortex and perceptual judgments, surpassing the previous state of the art. Significant and highly consistent benefits are demonstrated for both architectures on two separate functional magnetic resonance imaging (fMRI) datasets and behavioral data, jointly covering responses to 1,292 visual stimuli from a wide variety of object categories. These results suggest that computational visual neuroscience may take better advantage of the deep learning framework by using image sets that reflect the human perceptual and cognitive experience. Ecoset and trained network models are openly available to the research community.	computational neuroscience; computer vision; deep neural networks; ecological relevance; human visual system	?	https://pubmed.ncbi.nlm.nih.gov/33593900
?	Correction for Kim et al., Prediction of Alzheimer's disease-specific phospholipase c gamma-1 SNV by deep learning-based approach for high-throughput screening.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Mar 2;118(9). pii: 2101727118. doi: 10.1073/pnas.2101727118.	?		?	https://pubmed.ncbi.nlm.nih.gov/33579793
Feng, Peiyuan; Xiao, An; Fang, Meng; Wan, Fangping; Li, Shuya; Lang, Peng; Zhao, Dan; Zeng, Jianyang	A machine learning-based framework for modeling transcription elongation.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Feb 9;118(6). pii: 2007450118. doi: 10.1073/pnas.2007450118.	RNA polymerase II (Pol II) generally pauses at certain positions along gene bodies, thereby interrupting the transcription elongation process, which is often coupled with various important biological functions, such as precursor mRNA splicing and gene expression regulation. Characterizing the transcriptional elongation dynamics can thus help us understand many essential biological processes in eukaryotic cells. However, experimentally measuring Pol II elongation rates is generally time and resource consuming. We developed PEPMAN (polymerase II elongation pausing modeling through attention-based deep neural network), a deep learning-based model that accurately predicts Pol II pausing sites based on the native elongating transcript sequencing (NET-seq) data. Through fully taking advantage of the attention mechanism, PEPMAN is able to decipher important sequence features underlying Pol II pausing. More importantly, we demonstrated that the analyses of the PEPMAN-predicted results around various types of alternative splicing sites can provide useful clues into understanding the cotranscriptional splicing events. In addition, associating the PEPMAN prediction results with different epigenetic features can help reveal important factors related to the transcription elongation process. All these results demonstrated that PEPMAN can provide a useful and effective tool for modeling transcription elongation and understanding the related biological factors from available high-throughput sequencing data.	Pol II pausing; alternative splicing; deep learning	?	https://pubmed.ncbi.nlm.nih.gov/33526657
Amey, Jake L; Keeley, Jake; Choudhury, Tajwar; Kuprov, Ilya	Neural network interpretation using descrambler groups.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Feb 2;118(5). pii: 2016917118. doi: 10.1073/pnas.2016917118.	The lack of interpretability and trust is a much-criticized feature of deep neural networks. In fully connected nets, the signaling between inner layers is scrambled because backpropagation training does not require perceptrons to be arranged in any particular order. The result is a black box; this problem is particularly severe in scientific computing and digital signal processing (DSP), where neural nets perform abstract mathematical transformations that do not reduce to features or concepts. We present here a group-theoretical procedure that attempts to bring inner-layer signaling into a human-readable form, the assumption being that this form exists and has identifiable and quantifiable features-for example, smoothness or locality. We applied the proposed method to DEERNet (a DSP network used in electron spin resonance) and managed to descramble it. We found considerable internal sophistication: the network spontaneously invents a bandpass filter, a notch filter, a frequency axis rescaling transformation, frequency-division multiplexing, group embedding, spectral filtering regularization, and a map from harmonic functions into Chebyshev polynomials-in 10 min of unattended training from a random initial guess.	digital signal processing; electron spin resonance; interpretability; machine learning	?	https://pubmed.ncbi.nlm.nih.gov/33500352
Zhuang, Chengxu; Yan, Siming; Nayebi, Aran; Schrimpf, Martin; Frank, Michael C; DiCarlo, James J; Yamins, Daniel L K	Unsupervised neural network models of the ventral visual stream.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Jan 19;118(3). pii: 2014196118. doi: 10.1073/pnas.2014196118.	Deep neural networks currently provide the best quantitative models of the response patterns of neurons throughout the primate ventral visual stream. However, such networks have remained implausible as a model of the development of the ventral stream, in part because they are trained with supervised methods requiring many more labels than are accessible to infants during development. Here, we report that recent rapid progress in unsupervised learning has largely closed this gap. We find that neural network models learned with deep unsupervised contrastive embedding methods achieve neural prediction accuracy in multiple ventral visual cortical areas that equals or exceeds that of models derived using today's best supervised methods and that the mapping of these neural network models' hidden layers is neuroanatomically consistent across the ventral stream. Strikingly, we find that these methods produce brain-like representations even when trained solely with real human child developmental data collected from head-mounted cameras, despite the fact that these datasets are noisy and limited. We also find that semisupervised deep contrastive embeddings can leverage small numbers of labeled examples to produce representations with substantially improved error-pattern consistency to human behavior. Taken together, these results illustrate a use of unsupervised learning to provide a quantitative model of a multiarea cortical brain system and present a strong candidate for a biologically plausible computational theory of primate sensory learning.	deep neural networks; unsupervised algorithms; ventral visual stream	?	https://pubmed.ncbi.nlm.nih.gov/33431673
Hoye, Toke T; Arje, Johanna; Bjerge, Kim; Hansen, Oskar L P; Iosifidis, Alexandros; Leese, Florian; Mann, Hjalte M R; Meissner, Kristian; Melvad, Claus; Raitoharju, Jenni	Deep learning and computer vision will transform entomology.	Proc Natl Acad Sci U S A	2021	Proc Natl Acad Sci U S A. 2021 Jan 12;118(2). pii: 2002545117. doi: 10.1073/pnas.2002545117.	Most animal species on Earth are insects, and recent reports suggest that their abundance is in drastic decline. Although these reports come from a wide range of insect taxa and regions, the evidence to assess the extent of the phenomenon is sparse. Insect populations are challenging to study, and most monitoring methods are labor intensive and inefficient. Advances in computer vision and deep learning provide potential new solutions to this global challenge. Cameras and other sensors can effectively, continuously, and noninvasively perform entomological observations throughout diurnal and seasonal cycles. The physical appearance of specimens can also be captured by automated imaging in the laboratory. When trained on these data, deep learning models can provide estimates of insect abundance, biomass, and diversity. Further, deep learning models can quantify variation in phenotypic traits, behavior, and interactions. Here, we connect recent developments in deep learning and computer vision to the urgent demand for more cost-efficient monitoring of insects and other invertebrates. We present examples of sensor-based monitoring of insects. We show how deep learning tools can be applied to exceptionally large datasets to derive ecological information and discuss the challenges that lie ahead for the implementation of such solutions in entomology. We identify four focal areas, which will facilitate this transformation: 1) validation of image-based taxonomic identification; 2) generation of sufficient training data; 3) development of public, curated reference databases; and 4) solutions to integrate deep learning and molecular tools.	automated monitoring; ecology; image-based identification; insects; machine learning	?	https://pubmed.ncbi.nlm.nih.gov/33431561
