Authors	Title	Journal	Year	Publication_citation	Abstract	Keywords	Date_epublished	PMID
Geng, Junlong; Zhang, Xiaohui; Prabhu, Suma; Shahoei, Sayyed Hamed; Nelson, Erik R; Swanson, Kelly S; Anastasio, Mark A; Smith, Andrew M	3D microscopy and deep learning reveal the heterogeneity of crown-like structure microenvironments in intact adipose tissue.	Sci Adv	2021	Sci Adv. 2021 Feb 17;7(8). pii: 7/8/eabe2480. doi: 10.1126/sciadv.abe2480. Print 2021 Feb.	Crown-like structures (CLSs) are adipose microenvironments of macrophages engulfing adipocytes. Their histological density in visceral adipose tissue (VAT) predicts metabolic disorder progression in obesity and is believed to initiate obesity comorbidities. Here, we use three-dimensional (3D) light sheet microscopy and deep learning to quantify 3D features of VAT CLSs in lean and obese states. Obese CLS densities are significantly higher, composing 3.9% of tissue volume compared with 0.46% in lean tissue. Across the states, individual CLS structural characteristics span similar ranges; however, subpopulations are distinguishable. Obese VAT contains large CLSs absent from lean tissues, located near the tissue center, while lean CLSs have higher volumetric cell densities and prolate shapes. These features are consistent with inefficient adipocyte elimination in obesity that contributes to chronic inflammation, representing histological biomarkers to assess adipose pathogenesis. This tissue processing, imaging, and analysis pipeline can be applied to quantitatively classify 3D microenvironments across diverse tissues.		20210217	https://pubmed.ncbi.nlm.nih.gov/33597245
Cheng, Shiyi; Fu, Sipei; Kim, Yumi Mun; Song, Weiye; Li, Yunzhe; Xue, Yujia; Yi, Ji; Tian, Lei	Single-cell cytometry via multiplexed fluorescence prediction by label-free reflectance microscopy.	Sci Adv	2021	Sci Adv. 2021 Jan 15;7(3). pii: 7/3/eabe0431. doi: 10.1126/sciadv.abe0431. Print 2021 Jan.	Traditional imaging cytometry uses fluorescence markers to identify specific structures but is limited in throughput by the labeling process. We develop a label-free technique that alleviates the physical staining and provides multiplexed readouts via a deep learning-augmented digital labeling method. We leverage the rich structural information and superior sensitivity in reflectance microscopy and show that digital labeling predicts accurate subcellular features after training on immunofluorescence images. We demonstrate up to three times improvement in the prediction accuracy over the state of the art. Beyond fluorescence prediction, we demonstrate that single cell-level structural phenotypes of cell cycles are correctly reproduced by the digital multiplexed images, including Golgi twins, Golgi haze during mitosis, and DNA synthesis. We further show that the multiplexed readouts enable accurate multiparametric single-cell profiling across a large cell population. Our method can markedly improve the throughput for imaging cytometry toward applications for phenotyping, pathology, and high-content screening.		20210115	https://pubmed.ncbi.nlm.nih.gov/33523908
Kim, Gwangsu; Jang, Jaeson; Baek, Seungdae; Song, Min; Paik, Se-Bum	Visual number sense in untrained deep neural networks.	Sci Adv	2021	Sci Adv. 2021 Jan 1;7(1). pii: 7/1/eabd6127. doi: 10.1126/sciadv.abd6127. Print 2021 Jan.	Number sense, the ability to estimate numerosity, is observed in naive animals, but how this cognitive function emerges in the brain remains unclear. Here, using an artificial deep neural network that models the ventral visual stream of the brain, we show that number-selective neurons can arise spontaneously, even in the complete absence of learning. We also show that the responses of these neurons can induce the abstract number sense, the ability to discriminate numerosity independent of low-level visual cues. We found number tuning in a randomly initialized network originating from a combination of monotonically decreasing and increasing neuronal activities, which emerges spontaneously from the statistical properties of bottom-up projections. We confirmed that the responses of these number-selective neurons show the single- and multineuron characteristics observed in the brain and enable the network to perform number comparison tasks. These findings provide insight into the origin of innate cognitive functions.		20210101	https://pubmed.ncbi.nlm.nih.gov/33523851
Fu, Laiyi; Zhang, Lihua; Dollinger, Emmanuel; Peng, Qinke; Nie, Qing; Xie, Xiaohui	Predicting transcription factor binding in single cells through deep learning.	Sci Adv	2020	Sci Adv. 2020 Dec 18;6(51). pii: 6/51/eaba9031. doi: 10.1126/sciadv.aba9031. Print 2020 Dec.	Characterizing genome-wide binding profiles of transcription factors (TFs) is essential for understanding biological processes. Although techniques have been developed to assess binding profiles within a population of cells, determining them at a single-cell level remains elusive. Here, we report scFAN (single-cell factor analysis network), a deep learning model that predicts genome-wide TF binding profiles in individual cells. scFAN is pretrained on genome-wide bulk assay for transposase-accessible chromatin sequencing (ATAC-seq), DNA sequence, and chromatin immunoprecipitation sequencing (ChIP-seq) data and uses single-cell ATAC-seq to predict TF binding in individual cells. We demonstrate the efficacy of scFAN by both studying sequence motifs enriched within predicted binding peaks and using predicted TFs for discovering cell types. We develop a new metric "TF activity score" to characterize each cell and show that activity scores can reliably capture cell identities. scFAN allows us to discover and study cellular identities and heterogeneity based on chromatin accessibility profiles.		20201218	https://pubmed.ncbi.nlm.nih.gov/33355120
Webb, Michael A; Jackson, Nicholas E; Gil, Phwey S; de Pablo, Juan J	Targeted sequence design within the coarse-grained polymer genome.	Sci Adv	2020	Sci Adv. 2020 Oct 21;6(43). pii: 6/43/eabc6216. doi: 10.1126/sciadv.abc6216. Print 2020 Oct.	The chemical design of polymers with target structural and/or functional properties represents a grand challenge in materials science. While data-driven design approaches are promising, success with polymers has been limited, largely due to limitations in data availability. Here, we demonstrate the targeted sequence design of single-chain structure in polymers by combining coarse-grained modeling, machine learning, and model optimization. Nearly 2000 unique coarse-grained polymers are simulated to construct and analyze machine learning models. We find that deep neural networks inexpensively and reliably predict structural properties with limited sequence information as input. By coupling trained ML models with sequential model-based optimization, polymer sequences are proposed to exhibit globular, swollen, or rod-like behaviors, which are verified by explicit simulations. This work highlights the promising integration of coarse-grained modeling with data-driven design and represents a necessary and crucial step toward more complex polymer design efforts.		20201021	https://pubmed.ncbi.nlm.nih.gov/33087352
Kwon, H Y; Yoon, H G; Lee, C; Chen, G; Liu, K; Schmid, A K; Wu, Y Z; Choi, J W; Won, C	Magnetic Hamiltonian parameter estimation using deep learning techniques.	Sci Adv	2020	Sci Adv. 2020 Sep 25;6(39). pii: 6/39/eabb0872. doi: 10.1126/sciadv.abb0872. Print 2020 Sep.	Understanding spin textures in magnetic systems is extremely important to the spintronics and it is vital to extrapolate the magnetic Hamiltonian parameters through the experimentally determined spin. It can provide a better complementary link between theories and experimental results. We demonstrate deep learning can quantify the magnetic Hamiltonian from magnetic domain images. To train the deep neural network, we generated domain configurations with Monte Carlo method. The errors from the estimations was analyzed with statistical methods and confirmed the network was successfully trained to relate the Hamiltonian parameters with magnetic structure characteristics. The network was applied to estimate experimentally observed domain images. The results are consistent with the reported results, which verifies the effectiveness of our methods. On the basis of our study, we anticipate that the deep learning techniques make a bridge to connect the experimental and theoretical approaches not only in magnetism but also throughout any scientific research.		20200925	https://pubmed.ncbi.nlm.nih.gov/32978161
Barth, R; Bystricky, K; Shaban, H A	Coupling chromatin structure and dynamics by live super-resolution imaging.	Sci Adv	2020	Sci Adv. 2020 Jul 1;6(27). pii: 6/27/eaaz2196. doi: 10.1126/sciadv.aaz2196. Print 2020 Jul.	Chromatin conformation regulates gene expression and thus, constant remodeling of chromatin structure is essential to guarantee proper cell function. To gain insight into the spatiotemporal organization of the genome, we use high-density photoactivated localization microscopy and deep learning to obtain temporally resolved super-resolution images of chromatin in living cells. In combination with high-resolution dense motion reconstruction, we find elongated ~45- to 90-nm-wide chromatin "blobs." A computational chromatin model suggests that these blobs are dynamically associating chromatin fragments in close physical and genomic proximity and adopt topologically associated domain-like interactions in the time-average limit. Experimentally, we found that chromatin exhibits a spatiotemporal correlation over ~4 mum in space and tens of seconds in time, while chromatin dynamics are correlated over ~6 mum and last 40 s. Notably, chromatin structure and dynamics are closely related, which may constitute a mechanism to grant access to regions with high local chromatin concentration.		20200701	https://pubmed.ncbi.nlm.nih.gov/32937447
He, Yu; Jang, Hyo Sik; Xing, Xiaoyun; Li, Daofeng; Vasek, Michael J; Dougherty, Joseph D; Wang, Ting	DeepH&M: Estimating single-CpG hydroxymethylation and methylation levels from enrichment and restriction enzyme sequencing methods.	Sci Adv	2020	Sci Adv. 2020 Jul 1;6(27). pii: 6/27/eaba0521. doi: 10.1126/sciadv.aba0521. Print 2020 Jul.	Increased appreciation of 5-hydroxymethylcytosine (5hmC) as a stable epigenetic mark, which defines cell identity and disease progress, has engendered a need for cost-effective, but high-resolution, 5hmC mapping technology. Current enrichment-based technologies provide cheap but low-resolution and relative enrichment of 5hmC levels, while single-base resolution methods can be prohibitively expensive to scale up to large experiments. To address this problem, we developed a deep learning-based method, "DeepH&M," which integrates enrichment and restriction enzyme sequencing methods to simultaneously estimate absolute hydroxymethylation and methylation levels at single-CpG resolution. Using 7-week-old mouse cerebellum data for training the DeepH&M model, we demonstrated that the 5hmC and 5mC levels predicted by DeepH&M were in high concordance with whole-genome bisulfite-based approaches. The DeepH&M model can be applied to 7-week-old frontal cortex and 79-week-old cerebellum, revealing the robust generalizability of this method to other tissues from various biological time points.		20200701	https://pubmed.ncbi.nlm.nih.gov/32937429
Menden, Kevin; Marouf, Mohamed; Oller, Sergio; Dalmia, Anupriya; Magruder, Daniel Sumner; Kloiber, Karin; Heutink, Peter; Bonn, Stefan	Deep learning-based cell composition analysis from tissue expression profiles.	Sci Adv	2020	Sci Adv. 2020 Jul 22;6(30):eaba2619. doi: 10.1126/sciadv.aba2619. eCollection 2020 Jul.	We present Scaden, a deep neural network for cell deconvolution that uses gene expression information to infer the cellular composition of tissues. Scaden is trained on single-cell RNA sequencing (RNA-seq) data to engineer discriminative features that confer robustness to bias and noise, making complex data preprocessing and feature selection unnecessary. We demonstrate that Scaden outperforms existing deconvolution algorithms in both precision and robustness. A single trained network reliably deconvolves bulk RNA-seq and microarray, human and mouse tissue expression data and leverages the combined information of multiple datasets. Because of this stability and flexibility, we surmise that deep learning will become an algorithmic mainstay for cell deconvolution of various data types. Scaden's software package and web application are easy to use on new as well as diverse existing expression datasets available in public resources, deepening the molecular and cellular understanding of developmental and disease processes.		20200722	https://pubmed.ncbi.nlm.nih.gov/32832661
Zheng, Gang; Li, Xiaofeng; Zhang, Rong-Hua; Liu, Bin	Purely satellite data-driven deep learning forecast of complicated tropical instability waves.	Sci Adv	2020	Sci Adv. 2020 Jul 15;6(29):eaba1482. doi: 10.1126/sciadv.aba1482. eCollection 2020 Jul.	Forecasting fields of oceanic phenomena has long been dependent on physical equation-based numerical models. The challenge is that many natural processes need to be considered for understanding complicated phenomena. In contrast, rules of the processes are already embedded in the time-series observation itself. Thus, inspired by largely available satellite remote sensing data and the advance of deep learning technology, we developed a purely satellite data-driven deep learning model for forecasting the sea surface temperature evolution associated with a typical phenomenon: a tropical instability wave. During the testing period of 9 years (2010-2019), our model accurately and efficiently forecasts the sea surface temperature field. This study demonstrates the strong potential of the satellite data-driven deep learning model as an alternative to traditional numerical models for forecasting oceanic phenomena.		20200715	https://pubmed.ncbi.nlm.nih.gov/32832620
